now_us,bbr_full_bw,bbr_full_bw_cnt,bbr_max_bw,round_start,app_limited,bbr_min_rtt,bbr_state
0,0,0,26,1,1,598277,0
39677,0,0,50,0,1,598277,0
80568,0,0,70,0,1,598277,0
120307,0,0,89,0,1,598277,0
160728,0,0,106,0,1,598277,0
200468,0,0,121,0,1,598277,0
240488,0,0,134,0,1,598277,0
278121,0,0,147,0,1,598277,0
318097,0,0,159,0,1,598277,0
361133,0,0,169,0,1,598277,0
600293,266,0,266,1,0,598277,0
640049,266,0,288,0,0,598277,0
679607,266,0,288,0,0,598277,0
720261,266,0,294,0,0,598277,0
760492,266,0,294,0,0,598277,0
798985,266,0,301,0,0,598277,0
840884,266,0,301,0,0,598277,0
880297,266,0,306,0,0,598277,0
920517,266,0,306,0,0,598277,0
959766,266,0,311,0,0,598277,0
1001350,266,0,311,0,0,598277,0
1039465,266,0,315,0,0,598277,0
1080533,266,0,315,0,0,598277,0
1120303,266,0,319,0,0,598277,0
1160540,266,0,319,0,0,598277,0
1198858,266,0,323,0,0,598277,0
1239809,266,0,323,0,0,598277,0
1279796,266,0,326,0,0,598277,0
1320380,266,0,326,0,0,598277,0
1357955,266,0,329,0,0,598277,0
1400542,419,0,419,1,0,598277,0
1440281,419,0,419,0,0,598277,0
1480494,419,0,419,0,0,598277,0
1519884,419,0,419,0,0,598277,0
1598131,419,0,420,0,0,598277,0
1640521,419,0,420,0,0,598277,0
1678324,419,0,420,0,0,598277,0
1720344,419,0,420,0,0,598277,0
1758178,419,0,420,0,0,598277,0
1800558,419,0,420,0,0,598277,0
1839747,419,0,420,0,0,598277,0
1878720,419,0,420,0,0,598277,0
1918912,419,0,420,0,0,598277,0
1960435,419,0,420,0,0,598277,0
1999965,419,0,420,0,0,598277,0
2000051,419,0,435,0,0,598277,0
2038064,419,0,435,0,0,598277,0
2079762,419,0,435,0,0,598277,0
2119737,419,0,435,0,0,598277,0
2160102,419,0,435,0,0,598277,0
2160221,419,0,449,0,0,598277,0
2199799,419,0,449,0,0,598277,0
2240479,419,0,449,0,0,598277,0
2279632,419,0,449,0,0,598277,0
2279724,419,0,463,0,0,598277,0
2321181,419,0,463,0,0,598277,0
2357940,419,0,463,0,0,598277,0
2399544,419,0,463,0,0,598277,0
2440466,419,0,463,0,0,598277,0
2440555,419,0,472,0,0,598277,0
2479980,419,0,473,0,0,598277,0
2520510,419,0,473,0,0,598277,0
2559762,419,0,473,0,0,598277,0
2598241,419,0,473,0,0,598277,0
2598333,419,0,485,0,0,598277,0
2598366,419,0,500,0,0,598277,0
2639808,419,0,500,0,0,598277,0
2639901,419,0,514,0,0,598277,0
2679508,419,0,514,0,0,598277,0
2679622,419,0,527,0,0,598277,0
2720086,419,0,527,0,0,598277,0
2720174,419,0,541,0,0,598277,0
2758375,419,0,541,0,0,598277,0
2760271,419,0,554,0,0,598277,0
2760335,419,0,577,0,0,598277,0
2800438,419,0,577,0,0,598277,0
2800526,419,0,586,0,0,598277,0
2840425,419,0,586,0,0,598277,0
2840516,419,0,601,0,0,598277,0
2877713,419,0,601,0,0,598277,0
2877845,419,0,615,0,0,598277,0
2918705,419,0,615,0,0,598277,0
2918811,419,0,629,0,0,598277,0
2959547,419,0,629,0,0,598277,0
2959633,419,0,642,0,0,598277,0
2999768,419,0,643,0,0,598277,0
2999857,419,0,665,0,0,598277,0
3039778,419,0,665,0,0,598277,0
3039867,419,0,688,0,0,598277,0
3079732,419,0,689,0,0,598277,0
3079820,419,0,695,0,0,598277,0
3119635,419,0,695,0,0,598277,0
3119723,419,0,713,0,0,598277,0
3160832,419,0,713,0,0,598277,0
3160920,713,0,713,1,0,598277,0
3199848,713,0,713,0,0,598277,0
3200067,713,0,713,0,0,598277,0
3200102,713,0,713,0,0,598277,0
3240365,713,0,713,0,0,598277,0
3240449,713,0,713,0,0,598277,0
3280563,713,0,713,0,0,598277,0
3280652,713,0,713,0,0,598277,0
3280686,713,0,713,0,0,598277,0
3319672,713,0,713,0,0,598277,0
3319757,713,0,713,0,0,598277,0
3319786,713,0,713,0,0,598277,0
3358388,713,0,713,0,0,598277,0
3358609,713,0,713,0,0,598277,0
3358651,713,0,713,0,0,598277,0
3399713,713,0,713,0,0,598277,0
3399793,713,0,713,0,0,598277,0
3440430,713,0,713,0,0,598277,0
3440512,713,0,713,0,0,598277,0
3440543,713,0,713,0,0,598277,0
3480286,713,0,713,0,0,598277,0
3480367,713,0,713,0,0,598277,0
3480394,713,0,713,0,0,598277,0
3520328,713,0,713,0,0,598277,0
3520394,713,0,713,0,0,598277,0
3559758,713,0,713,0,0,598277,0
3559841,713,0,713,0,0,598277,0
3559867,713,0,713,0,0,598277,0
3599437,713,0,713,0,0,598277,0
3599516,713,0,713,0,0,598277,0
3599541,713,0,713,0,0,598277,0
3638067,713,0,713,0,0,598277,0
3638134,713,0,713,0,0,598277,0
3679165,713,0,713,0,0,598277,0
3679251,713,0,713,0,0,598277,0
3679276,713,0,713,0,0,598277,0
3679311,713,0,713,0,0,598277,0
3719577,713,0,713,0,0,598277,0
3719673,713,0,713,0,0,598277,0
3719699,713,0,713,0,0,598277,0
3759958,713,0,713,0,0,598277,0
3760019,713,0,713,0,0,598277,0
3760070,713,0,713,0,0,598277,0
3799358,713,0,713,0,0,598277,0
3799438,713,0,713,0,0,598277,0
3799537,713,0,713,0,0,598277,0
3838898,713,1,738,1,0,598277,0
3838984,713,1,754,0,0,598277,0
3839019,713,1,758,0,0,598277,0
3839041,713,1,774,0,0,598277,0
3879709,713,1,774,0,0,598277,0
3879785,713,1,789,0,0,598277,0
3919484,713,1,802,0,0,598277,0
3919571,713,1,818,0,0,598277,0
3959785,713,1,838,0,0,598277,0
3959872,713,1,855,0,0,598277,0
4001347,713,1,875,0,0,598277,0
4001435,713,1,892,0,0,598277,0
4038947,713,1,892,0,0,598277,0
4039035,713,1,894,0,0,598277,0
4080456,713,1,934,0,0,598277,0
4080533,713,1,954,0,0,598277,0
4119800,713,1,972,0,0,598277,0
4119890,713,1,998,0,0,598277,0
4119927,713,1,1017,0,0,598277,0
4159003,713,1,1044,0,0,598277,0
4159091,713,1,1063,0,0,598277,0
4199579,713,1,1063,0,0,598277,0
4199679,713,1,1069,0,0,598277,0
4240261,713,1,1089,0,0,598277,0
4240348,713,1,1108,0,0,598277,0
4279729,713,1,1108,0,0,598277,0
4279817,713,1,1108,0,0,598277,0
4318141,713,1,1108,0,0,598277,0
4318225,713,1,1108,0,0,598277,0
4359734,713,1,1108,0,0,598277,0
4359819,713,1,1108,0,0,598277,0
4399495,713,1,1108,0,0,598277,0
4399582,713,1,1108,0,0,598277,0
4399623,713,1,1108,0,0,598277,0
4438787,713,1,1108,0,0,598277,0
4438876,713,1,1108,0,0,598277,0
4480074,713,1,1108,0,0,598277,0
4480273,713,1,1108,0,0,598277,0
4519454,713,1,1108,0,0,598277,0
4519545,713,1,1108,0,0,598277,0
4558923,713,1,1108,0,0,598277,0
4599713,713,1,1108,0,0,598277,0
4599799,713,1,1108,0,0,598277,0
4640804,713,1,1108,0,0,598277,0
4640985,713,1,1108,0,0,598277,0
4679764,713,1,1108,0,0,598277,0
4680268,713,1,1108,0,0,598277,0
4718476,713,1,1108,0,0,598277,0
4759388,713,1,1108,0,0,598277,0
4759506,713,1,1108,0,0,598277,0
4798614,713,1,1108,0,0,598277,0
4798702,713,1,1108,0,0,598277,0
4839753,713,1,1108,0,0,598277,0
4840218,713,1,1108,0,0,598277,0
4879154,713,1,1108,0,0,598277,0
4920095,713,1,1108,0,0,598277,0
4920185,713,1,1108,0,0,598277,0
4958368,713,1,1108,0,0,598277,0
4958655,713,1,1108,0,0,598277,0
4999426,713,1,1108,0,0,598277,0
4999546,713,1,1108,0,0,598277,0
5039713,713,1,1108,0,0,598277,0
5080014,713,1,1108,0,0,598277,0
5080212,713,1,1108,0,0,598277,0
5118992,713,1,1108,0,0,598277,0
5119087,713,1,1108,0,0,598277,0
5158915,713,1,1108,0,0,598277,0
5159006,713,1,1108,0,0,598277,0
