now_us,bytes_acked,mss,rtt_us,tp_delivered_rate,tp_rate_interval_us,tp_delivered,lost,retrans,app_limited
0,1308,1308,671395,0,0,2,0,0,0
40472,2616,1308,711867,1,671395,3,0,0,1
79544,3924,1308,750934,2,711867,4,0,0,1
120041,5232,1308,791431,3,750939,5,0,0,1
160550,6540,1308,831867,4,791436,6,0,0,1
200329,7848,1308,871646,5,831945,7,0,0,1
238604,10464,1308,909921,6,871724,9,0,0,1
280827,11772,1308,952090,8,909999,10,0,0,1
316487,13080,1308,987750,9,952222,11,0,0,1
640321,14388,1308,640265,10,987882,12,0,0,1
679887,15696,1308,679831,10,671451,13,0,0,0
720013,17004,1308,679504,11,679887,14,0,0,0
760270,18312,1308,719761,11,711904,15,0,0,0
797149,19620,1308,713550,12,719798,16,0,0,0
841138,20928,1308,757539,12,754989,17,0,0,0
880081,22236,1308,745396,13,761594,18,0,0,0
917653,23544,1308,782968,13,806075,19,0,0,0
959617,24852,1308,776358,14,806075,20,0,0,0
997293,26160,1308,814034,14,854576,21,0,0,0
1040124,27468,1308,810263,15,854576,22,0,0,0
1079550,28776,1308,849689,15,901178,23,0,0,0
1117243,30084,1308,842345,16,901178,24,0,0,0
1160777,31392,1308,885879,15,946215,25,0,0,0
1199957,34008,1308,883711,16,946215,27,0,0,0
1240195,36624,1308,882601,18,987563,29,0,0,0
1280267,37932,1308,882134,19,1028857,30,0,0,0
1320182,39240,1308,922049,19,1069396,31,0,0,0
1360047,40548,1308,719663,20,1069396,32,0,0,0
1400190,41856,1308,720268,20,719726,33,0,0,0
1440230,43164,1308,760308,20,720303,34,0,0,0
1479991,44472,1308,759924,21,760343,35,0,0,0
1520191,45780,1308,800124,21,759978,36,0,0,0
1560177,47088,1308,799851,22,800178,37,0,0,0
1600047,48396,1308,839721,22,799907,38,0,0,0
1640926,49704,1308,843724,23,839777,39,0,0,0
1680015,51012,1308,882813,23,843777,40,0,0,0
1719592,52320,1308,878398,24,882866,41,0,0,0
1760100,53628,1308,918906,24,878454,42,0,0,0
1799956,56244,1308,919821,25,918962,44,0,0,0
1840734,57552,1308,923025,26,919875,45,0,0,0
1880139,58860,1308,962430,26,923081,46,0,0,0
1920238,60168,1308,960569,27,962486,47,0,0,0
1960082,61476,1308,1000413,27,960621,48,0,0,0
2000185,62784,1308,1002837,28,1000465,49,0,0,0
2039956,64092,1308,1042608,28,1002892,50,0,0,0
2080145,65400,1308,1039968,29,1042663,51,0,0,0
2119356,66708,1308,1079179,29,1040021,52,0,0,0
2160086,68016,1308,1080480,30,1079232,53,0,0,0
2199393,69324,1308,1119787,30,1080536,54,0,0,0
2239733,70632,1308,1122436,31,1119843,55,0,0,0
2281628,71940,1308,1164331,31,1122490,56,0,0,0
2319447,73248,1308,1190237,32,1164385,57,0,0,0
2360696,74556,1308,1199863,33,1202204,58,0,0,0
2400251,75864,1308,1239418,33,1199919,59,0,0,0
2439120,77172,1308,1239106,34,1239474,60,0,0,0
2480198,78480,1308,1280184,33,1239163,61,0,0,0
2520176,81096,1308,1308921,34,1280241,63,0,0,0
2560962,82404,1308,1320711,36,1320219,64,0,0,0
2600152,83712,1308,1359901,35,1320767,65,0,0,0
2640133,85020,1308,1384856,36,1359957,66,0,0,0
2640621,86328,1308,1385344,37,1399938,67,0,0,0
2679434,87636,1308,1399114,38,1400426,68,0,0,0
2679649,88944,1308,1399329,38,1399167,69,0,0,0
2679704,90252,1308,1359466,39,1399382,70,0,0,0
2719369,91560,1308,1399131,39,1359522,71,0,0,0
2719479,94176,1308,1359377,40,1399187,73,0,0,0
2719519,95484,1308,1319275,41,1359432,74,0,0,0
2759569,96792,1308,1359325,41,1319329,75,0,0,0
2759659,98100,1308,1319372,42,1359379,76,0,0,0
2800096,99408,1308,1359809,42,1319429,77,0,0,0
2800205,102024,1308,1320161,43,1359866,79,0,0,0
2800532,103332,1308,1280286,44,1320214,80,0,0,0
2839522,104640,1308,1319276,44,1280341,81,0,0,0
2839593,105948,1308,1279362,45,1319331,82,0,0,0
2839624,107256,1308,1239521,45,1279416,83,0,0,0
2879862,108564,1308,1279759,45,1239577,84,0,0,0
2879932,109872,1308,1238952,46,1279815,85,0,0,0
2879963,111180,1308,1238983,46,1239006,86,0,0,0
2920194,112488,1308,1240146,47,1239037,87,0,0,0
2920567,113796,1308,1240519,47,1240179,88,0,0,0
2959385,115104,1308,1239721,48,1240552,89,0,0,0
2959473,116412,1308,1239809,48,1239793,90,0,0,0
2959507,117720,1308,1199350,49,1239881,91,0,0,0
2999749,119028,1308,1239592,49,1199407,92,0,0,0
2999839,120336,1308,1199827,50,1239649,93,0,0,0
2999917,121644,1308,1199905,49,1199883,94,0,0,0
3039179,122952,1308,1231169,50,1199961,95,0,0,0
3039268,124260,1308,1231258,51,1239223,96,0,0,0
3079336,125568,1308,1238539,52,1239312,97,0,0,0
3079443,126876,1308,1238646,52,1238602,98,0,0,0
3079481,128184,1308,1199285,53,1238709,99,0,0,0
3119597,129492,1308,1239401,53,1199342,100,0,0,0
3119691,130800,1308,1199398,54,1239458,101,0,0,0
