now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
0,1308,1308,672361,0,0,2,0,0,0,2780683615,43704
38507,2616,1308,710868,1,672361,3,0,0,1,2780686231,47344
79685,3924,1308,752042,2,710868,4,0,0,1,2780688847,50576
119447,5232,1308,791804,3,752046,5,0,0,1,2780691463,53379
159222,6540,1308,831486,4,791808,6,0,0,1,2780694079,55792
200229,7848,1308,872493,5,831583,7,0,0,1,2780696695,57848
239931,9156,1308,912195,6,872590,8,0,0,1,2780699311,59573
279490,10464,1308,951754,7,912292,9,0,0,1,2780701927,61021
319475,11772,1308,991687,8,951851,10,0,0,1,2780704543,62231
359147,13080,1308,1031359,9,991836,11,0,0,1,2780707159,63233
600014,14388,1308,599968,10,1031508,12,0,0,1,2780709775,64062
637630,15696,1308,637584,10,672407,13,0,0,0,2780711083,69573
677681,17004,1308,639141,11,672407,14,0,0,0,2780713699,74683
717314,18312,1308,678774,11,710901,15,0,0,0,2780716315,79779
758475,19620,1308,678744,12,710901,16,0,0,0,2780718931,84302
799439,20928,1308,719708,12,752088,17,0,0,0,2780721547,88798
839165,22236,1308,710759,13,752088,18,0,0,0,2780724163,92614
878138,23544,1308,749732,13,800763,19,0,0,0,2780726779,96564
917827,24852,1308,742533,14,800763,20,0,0,0,2780729395,99829
958399,26160,1308,783105,14,847558,21,0,0,0,2780732011,103239
1958717,64092,1308,1000244,28,961827,50,0,0,0,2780771251,50801
1998396,65400,1308,999731,29,1000318,51,0,0,0,2780773867,50303
1998491,66708,1308,957467,29,999772,52,0,0,0,2780775175,49879
2038370,68016,1308,959656,29,957511,53,0,0,0,2780776483,49791
2077933,69324,1308,957625,29,959697,54,0,0,0,2780776483,49699
2078031,70632,1308,918824,29,957670,55,0,0,0,2780779099,49633
2117857,71940,1308,917801,29,918864,56,0,0,0,2780779099,49829
2117953,73248,1308,879296,29,917847,57,0,0,0,2780781715,50009
2157582,74556,1308,877788,29,889321,58,0,0,0,2780781715,50426
2198305,75864,1308,879088,29,930458,59,0,0,0,2780784331,50807
2198369,77172,1308,879152,28,928510,60,0,0,0,2780784331,51136
2239074,78480,1308,879841,29,928510,61,0,0,0,2780786947,53141
2277914,79788,1308,878685,29,879883,62,0,0,0,2780789563,53402
2277981,81096,1308,838128,29,878725,63,0,0,0,2780789563,53641
2319760,82404,1308,841814,29,838172,64,0,0,0,2780792179,54155
2357733,83712,1308,839815,29,841855,65,0,0,0,2780792179,54586
2357824,85020,1308,798699,29,840182,66,0,0,0,2780794795,54983
2399119,86328,1308,800290,29,841754,67,0,0,0,2780794795,55661
2437881,87636,1308,800430,29,881458,68,0,0,0,2780797411,56256
2437945,88944,1308,759504,29,878941,69,0,0,0,2780797411,56785
2479831,90252,1308,801390,29,919931,70,0,0,0,2780800027,57603
2518665,91560,1308,798625,30,919931,71,0,0,0,2780800027,57975
2518758,92868,1308,758911,30,920543,72,0,0,0,2780802643,58328
2557391,94176,1308,758780,30,960350,73,0,0,0,2780802643,58993
2557481,95484,1308,758870,29,959392,74,0,0,0,2780805259,59590
2598205,96792,1308,758825,30,959392,75,0,0,0,2780805259,60120
2637833,98100,1308,757549,30,961184,76,0,0,0,2780809183,62548
2637894,99408,1308,757610,29,962401,77,0,0,0,2780809183,62993
2679060,100716,1308,758870,30,962401,78,0,0,0,2780811799,63388
2720045,102024,1308,761270,30,1002307,79,0,0,0,2780811799,63725
2720115,103332,1308,761340,29,1000302,80,0,0,0,2780814415,63998
2758567,104640,1308,760113,30,1000302,81,0,0,0,2780814415,64238
2799975,105948,1308,788409,30,999789,82,0,0,0,2780817031,64463
2800048,107256,1308,722056,30,970542,83,0,0,0,2780818339,64367
2839182,108564,1308,761190,29,957684,84,0,0,0,2780818339,64974
2877250,111180,1308,759336,30,957684,86,0,0,0,2780820955,65098
2877323,112488,1308,719706,30,917858,87,0,0,0,2780823571,67266
2924906,113796,1308,767289,29,877823,88,0,0,0,2780826187,67820
2957365,115104,1308,749220,30,877823,89,0,0,0,2780826187,67780
2957436,116412,1308,749291,29,888928,90,0,0,0,2780828803,67947
2998515,117720,1308,741142,30,888928,91,0,0,0,2780828803,68092
3039782,119028,1308,782409,30,898140,92,0,0,0,2780831419,68311
3078153,120336,1308,771793,31,898140,93,0,0,0,2780832727,68040
3119636,121644,1308,813276,30,866507,94,0,0,0,2780835343,69981
3157873,122952,1308,800086,31,866507,95,0,0,0,2780836651,69404
3197799,124260,1308,840012,30,839869,96,0,0,0,2780837959,69054
3239590,125568,1308,837346,31,840066,97,0,0,0,2780839267,68312
3279941,126876,1308,877697,30,840471,98,0,0,0,2780840575,67704
3320166,128184,1308,871421,31,880822,99,0,0,0,2780841883,66757
3360126,129492,1308,911381,30,882221,100,0,0,0,2780844499,67955
3398718,130800,1308,879999,31,922181,101,0,0,0,2780845807,66890
3439780,132108,1308,921061,30,880053,102,0,0,0,2780847115,66297
3477369,133416,1308,919926,31,921115,103,0,0,0,2780848423,65386
3518767,134724,1308,961324,30,919978,104,0,0,0,2780849731,64619
3559053,136032,1308,960795,31,961376,105,0,0,0,2780852347,65396
3598396,137340,1308,1000138,30,960848,106,0,0,0,2780853655,64493
3637717,138648,1308,1010849,31,1000191,107,0,0,0,2780854963,63372
3677696,139956,1308,1029916,32,1039512,108,0,0,0,2780856271,62331
3677875,141264,1308,1030095,31,1039802,109,0,0,0,2780857579,61288
3723790,142572,1308,1003714,32,1039981,110,0,0,0,2780860195,62080
3758330,143880,1308,1038254,31,1003745,111,0,0,0,2780860195,61519
3758455,145188,1308,999833,32,1038285,112,0,0,0,2780862811,60761
3798099,146496,1308,1039477,31,999888,113,0,0,0,2780862811,60413
3837582,147804,1308,1037570,32,1039532,114,0,0,0,2780865427,61421
3837676,149112,1308,998458,32,1037607,115,0,0,0,2780868043,60900
3877209,150420,1308,1037991,31,998494,116,0,0,0,2780868043,60752
3919394,151728,1308,1042108,32,1038027,117,0,0,0,2780870659,60320
3919487,153036,1308,1042201,31,1042144,118,0,0,0,2780873275,61493
3960273,154344,1308,1062072,32,1042237,119,0,0,0,2780874583,61134
3999357,155652,1308,1101156,32,1082950,120,0,0,0,2780874583,60674
3999451,156960,1308,1042053,33,1122034,121,0,0,0,2780877199,59988
4037561,158268,1308,1080163,32,1042086,122,0,0,0,2780879815,61364
4037634,159576,1308,1039065,33,1080196,123,0,0,0,2780879815,60939
4078887,160884,1308,1080318,32,1039119,124,0,0,0,2780882431,60874
4117915,162192,1308,1078078,33,1080372,125,0,0,0,2780882431,60515
4118007,163500,1308,1039803,33,1078133,126,0,0,0,2780885047,61726
4157844,164808,1308,1079640,33,1039854,127,0,0,0,2780887663,61747
4198610,166116,1308,1078918,34,1079691,128,0,0,0,2780887663,61471
4198702,167424,1308,1040777,34,1078974,129,0,0,0,2780890279,61237
4237859,168732,1308,1040004,34,1040829,130,0,0,0,2780892895,62806
4277432,170040,1308,1037789,34,1040060,131,0,0,0,2780892895,62878
4277529,171348,1308,997533,34,1037842,132,0,0,0,2780895511,62958
4320221,172656,1308,1000002,34,997588,133,0,0,0,2780898127,64840
4320284,173964,1308,1000065,34,1000055,134,0,0,0,2780898127,65160
4320335,175272,1308,960154,35,1000118,135,0,0,0,2780900743,65442
4359834,176580,1308,961063,35,960209,136,0,0,0,2780900743,66012
4360010,177888,1308,920159,35,961116,137,0,0,0,2780903359,68058
4397390,179196,1308,919952,35,921132,138,0,0,0,2780905975,68860
4397455,180504,1308,878631,35,920021,139,0,0,0,2780905975,69580
4438931,181812,1308,920107,35,961381,140,0,0,0,2780909899,72197
4438995,183120,1308,879888,36,961381,141,0,0,0,2780909899,72738
4479154,184428,1308,880706,36,960849,142,0,0,0,2780912515,73601
4479223,185736,1308,841480,36,1000190,143,0,0,0,2780912515,76019
4518045,187044,1308,840275,36,1010875,144,0,0,0,2780915131,77118
4518113,189660,1308,829672,36,1029990,146,0,0,0,2780915131,78119
4560251,190968,1308,801864,37,1040661,147,0,0,0,2780917747,80851
4560315,192276,1308,801928,36,1038311,148,0,0,0,2780917747,82095
4599082,193584,1308,800931,37,1038311,149,0,0,0,2780922979,83214
4599142,194892,1308,800991,36,1039529,150,0,0,0,2780922979,86022
4639709,196200,1308,802071,37,1039529,151,0,0,0,2780925595,86951
4639772,197508,1308,802134,37,1037626,152,0,0,0,2780925595,87766
4640028,198816,1308,762763,38,1037626,153,0,0,0,2780925595,88492
4680048,200124,1308,802783,37,1038047,154,0,0,0,2780928211,91526
4680106,201432,1308,760658,38,1038047,155,0,0,0,2780928211,92040
4719953,202740,1308,800505,38,1042162,156,0,0,0,2780930827,93084
4720017,204048,1308,768646,39,1042162,157,0,0,0,2780930827,95355
4759314,205356,1308,759901,39,1074085,158,0,0,0,2780936059,96149
4759370,206664,1308,759957,38,1101212,159,0,0,0,2780936059,96985
4798571,207972,1308,777354,39,1101212,160,0,0,0,2780938675,97729
4798626,209280,1308,777409,39,1063819,161,0,0,0,2780938675,98121
4839017,210588,1308,775169,40,1063819,162,0,0,0,2780945215,98466
4839079,211896,1308,775231,39,1065279,163,0,0,0,2780945215,98805
4879102,214512,1308,761133,40,1065279,165,0,0,0,2780947831,101084
4879211,215820,1308,730008,40,1078132,166,0,0,0,2780947831,101577
4917275,217128,1308,768072,40,1070999,167,0,0,0,2780950447,104532
4917608,218436,1308,718944,41,1070999,168,0,0,0,2780950447,104745
4959200,219744,1308,760536,40,1078972,169,0,0,0,2780955679,105768
4959268,221052,1308,724980,41,1078972,170,0,0,0,2780955679,107997
4959297,222360,1308,725009,41,1076363,171,0,0,0,2780955679,108797
4997369,223668,1308,719877,42,1076363,172,0,0,0,2780958295,109506
4997550,224976,1308,720058,41,1037849,173,0,0,0,2780958295,112307
5038145,226284,1308,720653,42,1037849,174,0,0,0,2780963527,112955
5038200,227592,1308,720708,42,1037496,175,0,0,0,2780963527,113517
5077571,228900,1308,719734,43,1037496,176,0,0,0,2780968759,114012
5077634,230208,1308,719797,42,1037618,177,0,0,0,2780968759,114468
5118209,232824,1308,720397,43,1037618,179,0,0,0,2780971375,116996
5118309,234132,1308,682059,43,999041,180,0,0,0,2780971375,117343
5157877,235440,1308,721627,43,996399,181,0,0,0,2780975299,118422
5157960,236748,1308,683720,44,996399,182,0,0,0,2780977915,118572
5198039,238056,1308,705682,43,955416,183,0,0,0,2780977915,119481
5198362,239364,1308,706005,44,973533,184,0,0,0,2780980531,122009
5238491,240672,1308,709900,45,973533,185,0,0,0,2780983147,124499
5238570,241980,1308,709979,44,969484,186,0,0,0,2780985763,124688
5279042,243288,1308,714908,45,969484,187,0,0,0,2780985763,124852
5279125,244596,1308,714991,44,926391,188,0,0,0,2780988379,127080
5279196,245904,1308,681140,45,926391,189,0,0,0,2780990995,127110
5318319,247212,1308,720263,43,909615,190,0,0,0,2780990995,127893
5318406,249828,1308,687994,44,909615,192,0,0,0,2780993611,129905
5360080,251136,1308,698231,44,872025,193,0,0,0,2780996227,130475
5360162,252444,1308,698313,45,903462,194,0,0,0,2780998843,132956
5399497,253752,1308,706211,46,903462,195,0,0,0,2781001459,135411
5399580,255060,1308,706294,45,895135,196,0,0,0,2781004075,135432
5438366,256368,1308,714994,46,895135,197,0,0,0,2781005383,135448
5438486,257676,1308,715114,44,846107,198,0,0,0,2781007999,137471
5478219,260292,1308,726265,45,846107,200,0,0,0,2781007999,137296
5478316,261600,1308,698259,45,832506,201,0,0,0,2781013231,139082
5519340,262908,1308,739283,44,828686,202,0,0,0,2781013231,139394
5519437,264216,1308,712172,45,828686,203,0,0,0,2781015847,138663
5559087,265524,1308,751822,46,855894,204,0,0,0,2781018463,140888
5559177,266832,1308,724704,47,855894,205,0,0,0,2781019771,139936
5559208,268140,1308,724735,46,835060,206,0,0,0,2781019771,139769
5597433,269448,1308,736192,47,835060,207,0,0,0,2781022387,141804
5597526,270756,1308,723001,46,840024,208,0,0,0,2781025003,141393
5639484,272064,1308,764959,47,853308,209,0,0,0,2781025003,141358
5639577,273372,1308,738485,48,853308,210,0,0,0,2781027619,142466
5678482,274680,1308,777390,49,879875,211,0,0,0,2781030235,144344
5678647,277296,1308,750987,50,879875,213,0,0,0,2781032851,143144
5719238,278604,1308,765699,50,863812,214,0,0,0,2781035467,144878
5719329,279912,1308,765790,48,840027,215,0,0,0,2781038083,144169
5758053,281220,1308,779488,49,840118,216,0,0,0,2781038083,143552
5758144,282528,1308,779579,48,840445,217,0,0,0,2781040699,144787
5797665,283836,1308,794367,49,840536,218,0,0,0,2781043315,146115
5797757,285144,1308,794459,50,880057,219,0,0,0,2781045931,145092
5839432,286452,1308,811400,51,880149,220,0,0,0,2781045931,144206
5839523,287760,1308,811491,49,880135,221,0,0,0,2781048547,145088
5878091,289068,1308,826170,50,880226,222,0,0,0,2781051163,146100
5878388,290376,1308,826467,49,880541,223,0,0,0,2781053779,144867
5878418,291684,1308,803337,50,880838,224,0,0,0,2781053779,143799
5919812,292992,1308,844731,51,880868,225,0,0,0,2781056395,145393
5919905,294300,1308,821665,52,922262,226,0,0,0,2781059011,144098
5959565,295608,1308,861325,51,881705,227,0,0,0,2781059011,143500
5959959,296916,1308,838774,52,921365,228,0,0,0,2781061627,144048
5999546,298224,1308,878361,53,921759,229,0,0,0,2781064243,145264
5999852,299532,1308,855722,54,961346,230,0,0,0,2781066859,143757
6038146,300840,1308,894016,53,922218,231,0,0,0,2781066859,142953
6038345,302148,1308,871855,54,960512,232,0,0,0,2781070783,143324
6079920,303456,1308,902385,52,920036,233,0,0,0,2781073399,144353
6080010,304764,1308,902475,53,961611,234,0,0,0,2781074707,142962
6120069,306072,1308,920443,54,961701,235,0,0,0,2781077323,143607
6120154,307380,1308,920528,54,962192,236,0,0,0,2781078631,142191
6158388,308688,1308,936700,55,962277,237,0,0,0,2781081247,142780
6158516,309996,1308,936828,54,960349,238,0,0,0,2781082555,141391
6198671,311304,1308,955542,55,960477,239,0,0,0,2781085171,141970
6198760,312612,1308,955631,55,1000309,240,0,0,0,2781086479,140558
6198801,313920,1308,934660,56,1000398,241,0,0,0,2781089095,141086
6237972,315228,1308,973831,56,960310,242,0,0,0,2781089095,140432
