now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_una,snd_cwnd
0,1308,1308,715951,0,0,2,0,0,1,3535666624,38474,3535654852,10
39669,2616,1308,755620,1,715951,3,0,0,1,3535669240,42043,3535656160,11
80067,3924,1308,795995,2,755620,4,0,0,1,3535671856,45277,3535657468,12
119301,5232,1308,835229,3,796018,5,0,0,1,3535674472,48159,3535658776,13
160030,6540,1308,875845,4,835252,6,0,0,1,3535677088,50705,3535660084,14
200824,7848,1308,916639,5,875981,7,0,0,1,3535679704,52920,3535661392,15
239994,9156,1308,955809,6,916775,8,0,0,1,3535682320,54829,3535662700,16
279543,10464,1308,995358,7,955945,9,0,0,1,3535684936,56477,3535664008,17
320194,11772,1308,1035908,8,995494,10,0,0,1,3535687552,57888,3535665316,18
359987,13080,1308,1075701,9,1036145,11,0,0,1,3535690168,59084,3535666624,19
679894,14388,1308,679823,10,1075938,12,0,0,1,3535692784,60100,3535667932,20
721538,15696,1308,721467,10,716022,13,0,0,0,3535695400,64882,3535669240,21
760733,17004,1308,720990,11,721538,14,0,0,0,3535698016,69252,3535670548,22
799689,18312,1308,759946,11,755694,15,0,0,0,3535700632,73618,3535671856,23
839762,19620,1308,750802,12,760020,16,0,0,0,3535703248,77499,3535673164,24
880246,20928,1308,791286,12,804888,17,0,0,0,3535705864,81474,3535674472,25
921622,22236,1308,778342,13,804888,18,0,0,0,3535708480,84884,3535675780,26
959557,23544,1308,816277,13,859208,19,0,0,0,3535711096,88465,3535677088,27
999222,24852,1308,804349,14,859208,20,0,0,0,3535713712,91486,3535678396,28
1039811,26160,1308,844938,14,910688,21,0,0,0,3535716328,94698,3535679704,29
1083149,27468,1308,838843,15,910688,22,0,0,0,3535718944,97298,3535681012,30
1119569,28776,1308,875263,15,960121,23,0,0,0,3535721560,100041,3535682320,31
1160359,30084,1308,868341,16,960121,24,0,0,0,3535724176,102249,3535683628,32
1199926,31392,1308,907908,16,1007833,25,0,0,0,3535726792,104651,3535684936,33
1239976,32700,1308,901638,17,1007833,26,0,0,0,3535729408,106483,3535686244,34
1279731,34008,1308,941393,17,1054153,27,0,0,0,3535732024,108537,3535687552,35
1319999,35316,1308,936471,18,1054153,28,0,0,0,3535734640,110044,3535688860,36
1361555,36624,1308,978027,18,1099242,29,0,0,0,3535737256,111783,3535690168,37
1399850,37932,1308,972046,19,1099242,30,0,0,0,3535739872,112975,3535691476,38
1440820,39240,1308,1013016,19,1143518,31,0,0,0,3535742488,114450,3535692784,39
1480008,40548,1308,800042,20,1143518,32,0,0,0,3535745104,115417,3535694092,40
1519866,41856,1308,839900,20,800114,33,0,0,0,3535747720,120067,3535695400,41
1560649,43164,1308,839036,21,839972,34,0,0,0,3535750336,123921,3535696708,42
1600052,44472,1308,878439,21,839111,35,0,0,0,3535752952,127729,3535698016,43
1639138,45780,1308,878334,22,878514,36,0,0,0,3535755568,130741,3535699324,44
1680390,47088,1308,919586,22,878405,37,0,0,0,3535758184,133751,3535700632,45
1719299,48396,1308,919537,23,919657,38,0,0,0,3535760800,135962,3535701940,46
1759415,49704,1308,959653,23,919610,39,0,0,0,3535763416,138244,3535703248,47
1801593,51012,1308,961759,24,959726,40,0,0,0,3535766032,139805,3535704556,48
1840584,52320,1308,1000750,24,961831,41,0,0,0,3535768648,141465,3535705864,49
1880321,53628,1308,1000002,25,1000822,42,0,0,0,3535771264,142492,3535707172,50
1920015,54936,1308,1039696,25,1000075,43,0,0,0,3535773880,143736,3535708480,51
1960379,56244,1308,1038687,26,1039769,44,0,0,0,3535776496,144386,3535709788,52
1999768,57552,1308,1078076,26,1038757,45,0,0,0,3535779112,145302,3535711096,53
2039654,58860,1308,1080025,27,1078146,46,0,0,0,3535781728,145679,3535712404,54
2080647,60168,1308,1121018,27,1080097,47,0,0,0,3535784344,146296,3535713712,55
2120035,61476,1308,1120738,28,1121090,48,0,0,0,3535786960,146397,3535715020,56
2159222,62784,1308,1159925,28,1120813,49,0,0,0,3535789576,146809,3535716328,57
2200228,64092,1308,1160346,29,1160000,50,0,0,0,3535792192,146779,3535717636,58
2239489,65400,1308,1199607,29,1160417,51,0,0,0,3535794808,147058,3535718944,59
2280483,66708,1308,1197262,30,1199678,52,0,0,0,3535797424,146925,3535720252,60
2319362,68016,1308,1236141,30,1197334,53,0,0,0,3535800040,147153,3535721560,61
2360042,69324,1308,1240399,31,1236213,54,0,0,0,3535802656,146994,3535722868,62
2400593,70632,1308,1280950,31,1240473,55,0,0,0,3535805272,147082,3535724176,63
2439934,71940,1308,1279505,32,1281024,56,0,0,0,3535807888,146790,3535725484,64
2440049,73248,1308,1279620,32,1279575,57,0,0,0,3535810504,146847,3535726792,65
2480494,74556,1308,1280496,33,1279690,58,0,0,0,3535813120,147173,3535728100,66
