now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_una
0,1308,1308,718294,0,0,2,0,0,1,3599008197,38760,3598996425
39521,2616,1308,757815,1,718294,3,0,0,1,3599010813,42296,3598997733
79342,3924,1308,797613,2,757815,4,0,0,1,3599013429,45494,3598999041
119486,5232,1308,837757,3,797636,5,0,0,1,3599016045,48343,3599000349
158935,6540,1308,877114,4,837780,6,0,0,1,3599018661,50848,3599001657
197030,7848,1308,915209,5,877229,7,0,0,1,3599021277,53036,3599002965
240225,10464,1308,958404,6,915324,9,0,0,1,3599023893,54944,3599005581
280283,11772,1308,998372,8,958519,10,0,0,1,3599029125,59880,3599006889
319544,13080,1308,1037633,9,998577,11,0,0,1,3599031741,61146,3599008197
676763,14388,1308,676703,10,1037838,12,0,0,1,3599034357,62214,3599009505
720204,15696,1308,720144,10,718354,13,0,0,0,3599036973,66960,3599010813
758900,17004,1308,719317,11,720204,14,0,0,0,3599039589,71237,3599012121
797104,18312,1308,757521,11,757877,15,0,0,0,3599042205,75510,3599013429
839358,20928,1308,750871,12,757877,17,0,0,0,3599044821,79282,3599016045
879690,23544,1308,737090,13,806758,19,0,0,0,3599050053,86448,3599018661
920137,24852,1308,726090,14,860871,20,0,0,0,3599055285,93839,3599019969
960212,26160,1308,766165,14,912226,21,0,0,0,3599057901,98046,3599021277
999891,27468,1308,756519,15,912226,22,0,0,0,3599060517,101551,3599022585
1039897,28776,1308,796525,15,961551,23,0,0,0,3599063133,105213,3599023893
1079309,30084,1308,788324,16,961551,24,0,0,0,3599065749,108156,3599025201
1120057,31392,1308,829072,15,1009164,25,0,0,0,3599068365,111278,3599026509
1159708,34008,1308,825036,16,1009164,27,0,0,0,3599070981,113674,3599029125
1199808,35316,1308,821449,18,1052851,28,0,0,0,3599076213,119547,3599030433
1239012,36624,1308,860653,18,1096448,29,0,0,0,3599078829,122215,3599031741
1280305,39240,1308,859163,19,1096448,31,0,0,0,3599081445,124172,3599034357
1373056,40548,1308,696247,20,1139231,32,0,0,0,3599086677,129522,3599035665
1399450,41856,1308,722641,20,696293,33,0,0,0,3599089293,135094,3599036973
1439124,43164,1308,718860,21,722687,34,0,0,0,3599091909,139960,3599038281
1479101,44472,1308,758837,21,720204,35,0,0,0,3599094525,144818,3599039589
1519491,45780,1308,760529,22,758897,36,0,0,0,3599097141,148614,3599040897
1573558,47088,1308,814596,22,760591,37,0,0,0,3599099757,152336,3599042205
1612458,48396,1308,815293,23,814658,38,0,0,0,3599102373,154674,3599043513
1637093,49704,1308,839928,23,815354,39,0,0,0,3599104989,157095,3599044821
1679201,51012,1308,839782,24,839989,40,0,0,0,3599107605,158984,3599046129
1720174,52320,1308,880755,23,839843,41,0,0,0,3599110221,161022,3599047437
1759972,53628,1308,905423,24,880816,42,0,0,0,3599112837,162152,3599048745
