now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B,cwnd_pkt
0,1308,1,0,0.01308,2147483647,713306,1308,0,13080,10
39488,1308,1,0,0.014388,2147483647,752794,2616,0,15696,11
79468,1308,1,0,0.015696,2147483647,792751,3924,0,18312,12
119735,1308,1,0,0.017004,2147483647,833018,5232,0,20928,13
160411,1308,1,0,0.018312,2147483647,873571,6540,0,23544,14
199755,1308,1,0,0.01962,2147483647,912915,7848,0,26160,15
239379,1308,1,0,0.020928,2147483647,952539,9156,0,28776,16
280123,1308,1,0,0.022236,2147483647,993283,10464,0,31392,17
320075,1308,1,0,0.023544,2147483647,1033128,11772,0,34008,18
359634,1308,1,0,0.024852,2147483647,1072687,13080,0,36624,19
679907,1308,1,0,0.02616,2147483647,679846,14388,0,39240,20
719593,1308,1,0,0.027468,2147483647,719532,15696,0,41856,21
759609,1308,1,0,0.028776,2147483647,720058,17004,0,44472,22
799953,1308,1,0,0.030084,2147483647,760402,18312,0,47088,23
840639,1308,1,0,0.031392,2147483647,751880,19620,0,49704,24
879997,1308,1,0,0.0327,2147483647,791238,20928,0,52320,25
919610,1308,1,0,0.034008,2147483647,776665,22236,0,54936,26
959138,1308,1,0,0.035316,2147483647,816193,23544,0,57552,27
1000316,1308,1,0,0.036624,2147483647,805907,24852,0,60168,28
1039887,1308,1,0,0.037932,2147483647,845478,26160,0,62784,29
1080052,1308,1,0,0.03924,2147483647,836335,27468,0,65400,30
1119617,1308,1,0,0.040548,2147483647,875900,28776,0,68016,31
1159635,1308,1,0,0.041856,2147483647,868338,30084,0,70632,32
1199561,1308,1,0,0.043164,2147483647,908264,31392,0,73248,33
1239789,1308,1,0,0.044472,2147483647,902304,32700,0,75864,34
1279859,1308,1,0,0.04578,2147483647,942374,34008,0,78480,35
1320246,1308,1,0,0.047088,2147483647,937694,35316,0,81096,36
1359438,1308,1,0,0.048396,2147483647,976886,36624,0,83712,37
1400000,1308,1,0,0.049704,2147483647,973293,37932,0,86328,38
1439520,1308,1,0,0.051012,2147483647,1012813,39240,0,88944,39
1479982,1308,1,0,0.05232,2147483647,800014,40548,0,91560,40
1519993,1308,1,0,0.053628,2147483647,840025,41856,0,94176,41
1559416,1308,1,0,0.054936,2147483647,839762,43164,0,96792,42
1600114,1308,1,0,0.056244,2147483647,880460,44472,0,99408,43
1640403,1308,1,0,0.057552,2147483647,880733,45780,0,102024,44
1680195,1308,1,0,0.05886,2147483647,920525,47088,0,104640,45
1720395,1308,1,0,0.060168,2147483647,920381,48396,0,107256,46
1759966,1308,1,0,0.061476,2147483647,959952,49704,0,109872,47
1799552,1308,2,0,0.062784,48,958852,51012,0,112488,48
2800424,43164,2,0,0.064092,48,1320383,94176,0,155652,49
2839926,1308,2,0,0.064092,48,1319872,95484,0,158268,49
2840029,1308,2,0,0.064092,48,1319975,96792,0,159576,49
2880545,1308,2,0,0.064092,48,1321070,98100,0,159576,49
2919813,1308,2,0,0.064092,48,1360338,99408,0,162192,49
2919919,1308,2,0,0.064092,48,1319742,100716,0,163500,49
2959423,1308,2,0,0.064092,48,1359246,102024,0,163500,49
2999388,2616,2,0,0.0654,48,1358924,104640,0,166116,50
2999496,1308,2,0,0.0654,48,1319241,105948,0,168732,50
2999545,1308,2,0,0.0654,48,1319290,107256,0,171348,50
3039279,2616,2,0,0.0654,48,1318822,109872,0,171348,50
3039378,2616,2,0,0.0654,48,1279349,112488,0,173964,50
3039424,1308,2,0,0.0654,48,1239796,113796,0,176580,50
3079929,1308,2,0,0.0654,48,1239669,115104,0,179196,50
3080005,1308,2,0,0.0654,48,1200360,116412,0,179196,50
3119857,1308,2,0,0.0654,48,1200262,117720,0,181812,50
3119933,1308,2,0,0.0654,48,1159908,119028,0,181812,50
3119973,1308,2,0,0.0654,48,1119646,120336,0,181812,50
3160178,1308,2,0,0.0654,48,1119990,121644,0,184428,50
3160255,1308,2,0,0.0654,48,1080291,122952,0,184428,50
3160293,1308,2,0,0.0654,48,1039454,124260,0,184428,50
3199936,1308,2,0,0.0654,48,1039934,125568,0,187044,50
3200028,1308,2,0,0.0654,48,1000472,126876,0,187044,50
3200068,1308,2,0,0.0654,48,960266,128184,0,187044,50
3240346,1308,2,0,0.066708,48,961183,129492,0,187044,51
3240420,1308,2,0,0.066708,48,961257,130800,0,187044,51
3280053,1308,2,0,0.066708,48,960802,132108,0,189660,51
3280129,1308,2,0,0.066708,48,960878,133416,0,189660,51
3280169,1308,2,0,0.066708,48,919820,134724,0,189660,51
3320061,1308,2,0,0.066708,48,920326,136032,0,192276,51
3320137,1308,2,0,0.066708,48,880848,137340,0,192276,51
3320385,1308,2,0,0.066708,48,881096,138648,0,192276,51
3359068,1308,2,0,0.066708,48,878300,139956,0,194892,51
3359159,1308,2,0,0.066708,48,878391,141264,0,197508,51
3399790,1308,2,0,0.066708,48,880323,142572,0,200124,51
3399863,1308,2,0,0.066708,48,880396,143880,0,200124,51
3399902,1308,2,0,0.066708,48,840439,145188,0,200124,51
3440071,2616,2,0,0.066708,48,840185,147804,0,202740,51
3440148,1308,2,0,0.066708,48,800424,149112,0,202740,51
3440328,1308,2,0,0.066708,48,760514,150420,0,202740,51
3479641,1308,2,0,0.066708,48,799827,151728,0,205356,51
3479716,1308,2,0,0.066708,48,759860,153036,0,205356,51
3479756,1308,2,0,0.066708,48,720285,154344,0,205356,51
3520496,1308,2,0,0.068016,48,761025,155652,0,210588,52
3560707,1308,2,0,0.068016,48,760222,156960,0,213204,52
3600245,1308,2,0,0.068016,48,799760,158268,0,215820,52
3640076,1308,2,0,0.068016,48,800090,159576,0,221052,52
3719999,1308,2,0,0.068016,48,839395,160884,0,226284,52
3759458,1308,2,0,0.068016,48,878854,162192,0,228900,52
3799761,1308,2,0,0.068016,48,879884,163500,0,228900,52
3799866,2616,2,0,0.068016,48,840382,166116,0,231516,52
3839936,2616,2,0,0.068016,48,840484,168732,0,234132,52
3882908,1308,2,0,0.068016,48,857945,170040,0,236748,52
3883010,1308,2,0,0.068016,48,858047,171348,0,238056,52
3919799,1308,2,0,0.069324,48,851077,172656,0,240672,53
3959383,1308,2,0,0.069324,48,890661,173964,0,241980,53
3959485,1308,2,0,0.069324,48,846954,175272,0,243288,53
4000686,1308,2,0,0.069324,48,888155,176580,0,243288,53
4039649,1308,2,0,0.069324,48,883456,177888,0,245904,53
4039748,1308,2,0,0.069324,48,883555,179196,0,247212,53
4080035,1308,2,0,0.069324,48,880471,180504,0,247212,53
4125110,1308,2,0,0.069324,48,925546,181812,0,249828,53
4125211,1308,2,0,0.069324,48,882920,183120,0,251136,53
4165073,1308,2,0,0.069324,48,922782,184428,0,251136,53
4165392,2616,2,0,0.070632,48,881754,187044,0,253752,54
4204310,1308,2,0,0.070632,48,881131,188352,0,256368,54
4239938,1308,2,0,0.070632,48,916759,189660,0,258984,54
4240041,1308,2,0,0.070632,48,881384,190968,0,260292,54
4279962,1308,2,0,0.070632,48,921305,192276,0,260292,54
4319948,2616,2,0,0.070632,48,927327,194892,0,262908,54
4320053,2616,2,0,0.07194,48,895053,197508,0,265524,55
4360019,1308,2,0,0.07194,48,903099,198816,0,269448,55
4404802,1308,2,0,0.07194,48,947882,200124,0,269448,55
4404907,2616,2,0,0.07194,48,916469,202740,0,272064,55
4440671,1308,2,0,0.073248,48,921785,204048,0,274680,56
4480283,1308,2,0,0.073248,48,961397,205356,0,277296,56
4480387,1308,2,0,0.073248,48,932508,206664,0,278604,56
4519588,1308,2,0,0.073248,48,971709,207972,0,278604,56
4559490,1308,2,0,0.073248,48,984558,209280,0,281220,56
4559593,1308,2,0,0.073248,48,984661,210588,0,282528,56
4600035,1308,2,0,0.074556,48,998050,211896,0,285144,57
4640200,1308,2,0,0.074556,48,1038215,213204,0,286452,57
4640305,2616,2,0,0.074556,48,1011600,215820,0,287760,57
4681966,2616,2,0,0.074556,48,1026835,218436,0,290376,57
4719973,1308,2,0,0.075864,48,1038516,219744,0,292992,58
4720079,1308,2,0,0.075864,48,1038622,221052,0,295608,58
4759926,1308,2,0,0.075864,48,1052142,222360,0,295608,58
4760542,1308,2,0,0.075864,48,1052758,223668,0,298224,58
4799548,1308,2,0,0.075864,48,1065523,224976,0,298224,58
4839366,1308,2,0,0.075864,48,1105341,226284,0,300840,58
4839470,1308,2,0,0.077172,48,1079203,227592,0,303456,59
4879986,1308,2,0,0.077172,48,1119719,228900,0,303456,59
4920580,1308,2,0,0.077172,48,1120757,230208,0,306072,59
4920685,1308,2,0,0.077172,48,1120862,231516,0,307380,59
4960136,1308,2,0,0.07848,48,1146785,232824,0,309996,60
4960237,1308,2,0,0.07848,48,1146886,234132,0,311304,60
4999561,1308,2,0,0.07848,48,1159427,235440,0,311304,60
4999664,1308,2,0,0.07848,48,1159530,236748,0,313920,60
4999706,1308,2,0,0.07848,48,1116737,238056,0,313920,60
5040247,1308,2,0,0.079788,48,1150556,239364,0,316536,61
5040344,1308,2,0,0.079788,48,1150653,240672,0,319152,61
5079200,1308,2,0,0.079788,48,1159340,241980,0,319152,61
5080210,1308,2,0,0.079788,48,1120766,243288,0,321768,61
5119983,2616,2,0,0.079788,48,1119235,245904,0,321768,61
5120099,1308,2,0,0.081096,48,1080391,247212,0,327000,62
5159379,1308,2,0,0.081096,48,1079283,248520,0,327000,62
5159477,1308,2,0,0.081096,48,1079381,249828,0,329616,62
5199721,1308,2,0,0.081096,48,1074550,251136,0,329616,62
5199842,1308,2,0,0.082404,48,1034706,252444,0,332232,63
5239451,1308,2,0,0.082404,48,1074315,253752,0,334848,63
5239526,1308,2,0,0.082404,48,1060832,255060,0,334848,63
5279739,1308,2,0,0.082404,48,1101045,256368,0,337464,63
5279839,1308,2,0,0.083712,48,1074015,257676,0,340080,64
5319913,1308,2,0,0.083712,48,1114089,258984,0,340080,64
5320021,1308,2,0,0.083712,48,1080021,260292,0,342696,64
5320071,1308,2,0,0.08502,48,1040048,261600,0,345312,65
5360305,1308,2,0,0.08502,48,1080282,262908,0,345312,65
5360411,1308,2,0,0.08502,48,1040401,264216,0,347928,65
5399494,1308,2,0,0.08502,48,1079484,265524,0,347928,65
5399700,1308,2,0,0.086328,48,1066157,266832,0,350544,66
5440546,1308,2,0,0.086328,48,1107003,268140,0,353160,66
5440620,1308,2,0,0.086328,48,1080003,269448,0,353160,66
5479761,1308,2,0,0.086328,48,1074898,270756,0,355776,66
5479865,1308,2,0,0.087636,48,1075002,272064,0,358392,67
5520525,1308,2,0,0.087636,48,1102005,273372,0,358392,67
5520629,1308,2,0,0.087636,48,1102109,274680,0,361008,67
5559405,1308,2,0,0.087636,48,1114005,275988,0,361008,67
5559509,1308,2,0,0.088944,48,1114109,277296,0,363624,68
5559562,1308,2,0,0.088944,48,1079217,278604,0,366240,68
5599831,1308,2,0,0.088944,48,1080182,279912,0,367548,68
5599900,1308,2,0,0.088944,48,1080251,281220,0,367548,68
5599965,1308,2,0,0.090252,48,1040414,282528,0,370164,69
5639733,1308,2,0,0.090252,48,1073263,283836,0,372780,69
5639804,1308,2,0,0.090252,48,1073334,285144,0,372780,69
5680093,1308,2,0,0.090252,48,1079998,286452,0,375396,69
5680189,1308,2,0,0.09156,48,1039926,287760,0,378012,70
5680232,1308,2,0,0.09156,48,1032980,289068,0,378012,70
5719863,1308,2,0,0.09156,48,1072611,290376,0,380628,70
5719937,1308,2,0,0.09156,48,1037908,291684,0,380628,70
5720001,1308,2,0,0.092868,48,1037972,292992,0,383244,71
5759985,1308,2,0,0.092868,48,1039951,294300,0,385860,71
5760057,1308,2,0,0.092868,48,1040023,295608,0,385860,71
5799958,1308,2,0,0.092868,48,1039972,296916,0,388476,71
5800053,1308,2,0,0.094176,48,1040067,298224,0,391092,72
5800097,1308,2,0,0.094176,48,1000489,299532,0,391092,72
5840083,1308,2,0,0.095484,48,1040475,300840,0,393708,73
5840178,1308,2,0,0.095484,48,1000750,302148,0,396324,73
5840218,1308,2,0,0.095484,48,1000790,303456,0,396324,73
5879590,1308,2,0,0.095484,48,999543,304764,0,398940,73
5879682,1308,2,0,0.096792,48,999635,306072,0,401556,74
5920091,1308,2,0,0.096792,48,999448,307380,0,401556,74
5920190,1308,2,0,0.096792,48,992127,308688,0,404172,74
5920249,1308,2,0,0.096792,48,992186,309996,0,404172,74
5960175,1308,2,0,0.0981,48,999979,311304,0,406788,75
5960275,1308,2,0,0.0981,48,960654,312612,0,409404,75
5960313,1308,2,0,0.0981,48,960692,313920,0,409404,75
6000048,1308,2,0,0.0981,48,985291,315228,0,412020,75
6000165,1308,2,0,0.099408,48,985408,316536,0,414636,76
6000208,1308,2,0,0.099408,48,955375,317844,0,414636,76
6039541,1308,2,0,0.100716,48,994708,319152,0,417252,77
6039635,1308,2,0,0.100716,48,960373,320460,0,419868,77
6080117,1308,2,0,0.100716,48,1000855,321768,0,419868,77
6080216,1308,2,0,0.100716,48,960171,323076,0,422484,77
6080261,1308,2,0,0.102024,48,960216,324384,0,425100,78
6119712,1308,2,0,0.102024,48,984004,325692,0,425100,78
6119809,1308,2,0,0.102024,48,984101,327000,0,427716,78
6119878,1308,2,0,0.103332,48,954097,328308,0,430332,79
6159975,1308,2,0,0.103332,48,994194,329616,0,430332,79
6160071,1308,2,0,0.103332,48,960288,330924,0,432948,79
6200565,1308,2,0,0.10464,48,1000782,332232,0,435564,80
6200641,1308,2,0,0.10464,48,975882,333540,0,435564,80
6200705,1308,2,0,0.10464,48,975946,334848,0,438180,80
6239141,1308,2,0,0.10464,48,985453,336156,0,438180,80
6239245,1308,2,0,0.105948,48,985557,337464,0,440796,81
6240534,2616,2,0,0.105948,48,958081,340080,0,443412,81
6280213,2616,2,0,0.107256,48,960237,342696,0,446028,82
6280313,1308,2,0,0.107256,48,941100,344004,0,448644,82
6280357,1308,2,0,0.108564,48,941144,345312,0,451260,83
6319163,1308,2,0,0.108564,48,952021,346620,0,453876,83
6319237,1308,2,0,0.108564,48,952095,347928,0,453876,83
6359187,1308,2,0,0.109872,48,959633,349236,0,456492,84
6359286,1308,2,0,0.109872,48,959732,350544,0,459108,84
6359327,1308,2,0,0.109872,48,937209,351852,0,459108,84
6399355,1308,2,0,0.109872,48,977237,353160,0,461724,84
6399455,2616,2,0,0.11118,48,950159,355776,0,464340,85
6399728,1308,2,0,0.112488,48,919908,357084,0,466956,86
6439967,1308,2,0,0.112488,48,960147,358392,0,469572,86
6440041,1308,2,0,0.112488,48,919456,359700,0,469572,86
6479740,1308,2,0,0.113796,48,959155,361008,0,472188,87
6479841,1308,2,0,0.113796,48,920377,362316,0,474804,87
6479881,1308,2,0,0.113796,48,920417,363624,0,474804,87
6520250,1308,2,0,0.115104,48,947452,364932,0,477420,88
6520347,1308,2,0,0.115104,48,947549,366240,0,480036,88
6520386,1308,2,0,0.115104,48,920841,367548,0,480036,88
6560040,1308,2,0,0.116412,48,947140,368856,0,482652,89
6560147,1308,2,0,0.116412,48,947247,370164,0,485268,89
6560388,1308,2,0,0.116412,48,921219,371472,0,485268,89
6599990,1308,2,0,0.11772,48,960821,372780,0,487884,90
6600098,1308,2,0,0.11772,48,934802,374088,0,490500,90
6639919,1308,2,0,0.11772,48,974623,375396,0,490500,90
6640026,2616,2,0,0.119028,48,948650,378012,0,493116,91
6640079,2616,2,0,0.119028,48,922995,380628,0,495732,91
6680299,1308,2,0,0.120336,48,937750,381936,0,500964,92
6680373,1308,2,0,0.120336,48,937824,383244,0,500964,92
6680435,1308,2,0,0.121644,48,912865,384552,0,503580,93
6719534,1308,2,0,0.121644,48,951964,385860,0,506196,93
6719609,2616,2,0,0.121644,48,927099,388476,0,506196,93
6759627,1308,2,0,0.122952,48,942301,389784,0,511428,94
6759702,1308,2,0,0.122952,48,942376,391092,0,511428,94
6759787,1308,2,0,0.12426,48,918039,392400,0,514044,95
6799617,1308,2,0,0.12426,48,957869,393708,0,516660,95
6799696,2616,2,0,0.12426,48,934053,396324,0,516660,95
6799788,1308,2,0,0.125568,48,910269,397632,0,521892,96
6839304,1308,2,0,0.125568,48,949785,398940,0,521892,96
6839410,1308,2,0,0.126876,48,926255,400248,0,524508,97
6839645,1308,2,0,0.126876,48,926490,401556,0,527124,97
6879288,2616,2,0,0.126876,48,942917,404172,0,527124,97
6879404,1308,2,0,0.128184,48,919982,405480,0,532356,98
6919977,1308,2,0,0.128184,48,960555,406788,0,532356,98
6920084,1308,2,0,0.129492,48,938081,408096,0,534972,99
6920135,1308,2,0,0.129492,48,938132,409404,0,537588,99
6960138,2616,2,0,0.129492,48,955599,412020,0,537588,99
6960254,1308,2,0,0.1308,48,933457,413328,0,542820,100
6960294,1308,2,0,0.1308,48,933497,414636,0,542820,100
7000042,2616,2,0,0.132108,48,951325,417252,0,545436,101
7000465,2616,2,0,0.132108,48,930266,419868,0,548052,101
7040016,2616,2,0,0.133416,48,948329,422484,0,553284,102
