now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_una,cwnd_MB,ssthresh_pkt
0,1308,1308,713306,0,0,2,0,0,1,253360298,38541,253348526,0.01308,2147483647
39488,2616,1308,752794,1,713306,3,0,0,1,253362914,42127,253349834,0.014388,2147483647
79468,3924,1308,792751,2,752794,4,0,0,1,253365530,45378,253351142,0.015696,2147483647
119735,5232,1308,833018,3,792774,5,0,0,1,253368146,48278,253352450,0.017004,2147483647
160411,6540,1308,873571,4,833041,6,0,0,1,253370762,50832,253353758,0.018312,2147483647
199755,7848,1308,912915,5,873717,7,0,0,1,253373378,53054,253355066,0.01962,2147483647
239379,9156,1308,952539,6,913061,8,0,0,1,253375994,54981,253356374,0.020928,2147483647
280123,10464,1308,993283,7,952685,9,0,0,1,253378610,56638,253357682,0.022236,2147483647
320075,11772,1308,1033128,8,993429,10,0,0,1,253381226,58047,253358990,0.023544,2147483647
359634,13080,1308,1072687,9,1033381,11,0,0,1,253383842,59246,253360298,0.024852,2147483647
679907,14388,1308,679846,10,1072940,12,0,0,1,253386458,60265,253361606,0.02616,2147483647
719593,15696,1308,719532,10,713367,13,0,0,0,253389074,65042,253362914,0.027468,2147483647
759609,17004,1308,720058,11,719593,14,0,0,0,253391690,69424,253364222,0.028776,2147483647
799953,18312,1308,760402,11,752857,15,0,0,0,253394306,73792,253365530,0.030084,2147483647
840639,19620,1308,751880,12,760465,16,0,0,0,253396922,77655,253366838,0.031392,2147483647
879997,20928,1308,791238,12,802042,17,0,0,0,253399538,81605,253368146,0.0327,2147483647
919610,22236,1308,776665,13,802042,18,0,0,0,253402154,85004,253369454,0.034008,2147483647
959138,23544,1308,816193,13,856228,19,0,0,0,253404770,88598,253370762,0.035316,2147483647
1000316,24852,1308,805907,14,856228,20,0,0,0,253407386,91607,253372070,0.036624,2147483647
1039887,26160,1308,845478,14,907569,21,0,0,0,253410002,94785,253373378,0.037932,2147483647
1080052,27468,1308,836335,15,907569,22,0,0,0,253412618,97368,253374686,0.03924,2147483647
1119617,28776,1308,875900,15,956877,23,0,0,0,253415234,100142,253375994,0.040548,2147483647
1159635,30084,1308,868338,16,956877,24,0,0,0,253417850,102329,253377302,0.041856,2147483647
1199561,31392,1308,908264,16,1004457,25,0,0,0,253420466,104722,253378610,0.043164,2147483647
1239789,32700,1308,902304,17,1004457,26,0,0,0,253423082,106540,253379918,0.044472,2147483647
1279859,34008,1308,942374,17,1050645,27,0,0,0,253425698,108577,253381226,0.04578,2147483647
1320246,35316,1308,937694,18,1050645,28,0,0,0,253428314,110062,253382534,0.047088,2147483647
1359438,36624,1308,976886,18,1095605,29,0,0,0,253430930,111780,253383842,0.048396,2147483647
1400000,37932,1308,973293,19,1095605,30,0,0,0,253433546,112991,253385150,0.049704,2147483647
1439520,39240,1308,1012813,19,1139760,31,0,0,0,253436162,114444,253386458,0.051012,2147483647
1479982,40548,1308,800014,20,1139760,32,0,0,0,253438778,115414,253387766,0.05232,2147483647
1519993,41856,1308,840025,20,800075,33,0,0,0,253441394,120065,253389074,0.053628,2147483647
1559416,43164,1308,839762,21,840086,34,0,0,0,253444010,123917,253390382,0.054936,2147483647
1600114,44472,1308,880460,21,839823,35,0,0,0,253446626,127712,253391690,0.056244,2147483647
1640403,45780,1308,880733,22,880521,36,0,0,0,253449242,130688,253392998,0.057552,2147483647
1680195,47088,1308,920525,22,880794,37,0,0,0,253451858,133659,253394306,0.05886,2147483647
1720395,48396,1308,920381,23,920586,38,0,0,0,253454474,135862,253395614,0.060168,2147483647
1759966,49704,1308,959952,23,920442,39,0,0,0,253457090,138140,253396922,0.061476,2147483647
1799552,51012,1308,958852,24,960013,40,0,0,0,253459706,139707,253398230,0.062784,48
2800424,94176,1308,1320383,40,1279529,73,0,0,0,253502870,61062,253441394,0.064092,48
2839926,95484,1308,1319872,41,1320442,74,0,0,0,253505486,60695,253442702,0.064092,48
2840029,96792,1308,1319975,41,1319933,75,0,0,0,253506794,60381,253444010,0.064092,48
2880545,98100,1308,1321070,42,1320036,76,0,0,0,253506794,60109,253445318,0.064092,48
2919813,99408,1308,1360338,42,1321129,77,0,0,0,253509410,59866,253446626,0.064092,48
2919919,100716,1308,1319742,43,1360397,78,0,0,0,253510718,59428,253447934,0.064092,48
2959423,102024,1308,1359246,43,1319805,79,0,0,0,253510718,59282,253449242,0.064092,48
2999388,104640,1308,1358924,44,1359309,81,0,0,0,253513334,60133,253451858,0.0654,48
2999496,105948,1308,1319241,45,1358985,82,0,0,0,253515950,59825,253453166,0.0654,48
2999545,107256,1308,1319290,45,1319301,83,0,0,0,253518566,59782,253454474,0.0654,48
3039279,109872,1308,1318822,46,1319350,85,0,0,0,253518566,59745,253457090,0.0654,48
3039378,112488,1308,1279349,47,1318884,87,0,0,0,253521182,59715,253459706,0.0654,48
3039424,113796,1308,1239796,48,1279412,88,0,0,0,253523798,59914,253461014,0.0654,48
3079929,115104,1308,1239669,48,1239872,89,0,0,0,253526414,60317,253462322,0.0654,48
3080005,116412,1308,1200360,48,1239682,90,0,0,0,253526414,60675,253463630,0.0654,48
3119857,117720,1308,1200262,48,1200371,91,0,0,0,253529030,61226,253464938,0.0654,48
3119933,119028,1308,1159908,48,1200274,92,0,0,0,253529030,61717,253466246,0.0654,48
3119973,120336,1308,1119646,48,1159919,93,0,0,0,253529030,62402,253467554,0.0654,48
