now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_una
0,1308,1308,692819,0,0,2,0,0,1,2081230079,39665,2081218307
9906,2616,1308,702725,1,692819,3,0,0,1,2081232695,43358,2081219615
40102,3924,1308,732898,2,702725,4,0,0,1,2081235311,46954,2081220923
79870,5232,1308,772666,3,732921,5,0,0,1,2081237927,50263,2081222231
79965,6540,1308,772634,4,772689,6,0,0,1,2081240543,53185,2081223539
99539,7848,1308,792208,5,772784,7,0,0,1,2081243159,56128,2081224847
99616,9156,1308,792285,6,792358,8,0,0,1,2081243159,58890,2081226155
159747,10464,1308,852416,7,792435,9,0,0,1,2081245775,61686,2081227463
201538,11772,1308,894098,8,852566,10,0,0,1,2081248391,63858,2081228771
213851,13080,1308,906411,9,894357,11,0,0,1,2081248391,65662,2081230079
674522,14388,1308,674462,10,906670,12,0,0,1,2081256239,67453,2081231387
690119,15696,1308,690059,10,692879,13,0,0,0,2081258855,72000,2081232695
719967,17004,1308,689740,11,692879,14,0,0,0,2081261471,76340,2081234003
730143,18312,1308,699916,11,723046,15,0,0,0,2081264087,80668,2081235311
769297,19620,1308,683356,12,723046,16,0,0,0,2081266703,84829,2081236619
800538,20928,1308,714597,12,778737,17,0,0,0,2081269319,89219,2081237927
809199,22236,1308,671211,13,778737,18,0,0,0,2081271935,93080,2081239235
834374,23544,1308,696386,13,830784,19,0,0,0,2081274551,97654,2081240543
879438,24852,1308,692264,14,830784,20,0,0,0,2081277167,101744,2081241851
879536,26160,1308,692362,14,879843,21,0,0,0,2081279783,105886,2081243159
909745,27468,1308,675963,15,879843,22,0,0,0,2081282399,110000,2081244467
929917,28776,1308,696135,14,926451,23,0,0,0,2081285015,114418,2081245775
964641,30084,1308,688451,15,926451,24,0,0,0,2081287631,118373,2081247083
1001334,31392,1308,725144,15,968859,25,0,0,0,2081290247,122478,2081248391
1044431,32700,1308,727275,16,968859,26,0,0,0,2081292863,125736,2081249699
1074923,34008,1308,757767,15,1009716,27,0,0,0,2081295479,128981,2081251007
1120754,35316,1308,764815,16,1009716,28,0,0,0,2081298095,131557,2081252315
1120860,36624,1308,764921,17,1048499,29,0,0,0,2081300711,134065,2081253623
1120934,37932,1308,726213,18,1048499,30,0,0,0,2081303327,136672,2081254931
1160255,39240,1308,765534,19,1087281,31,0,0,0,2081305943,140296,2081256239
1361377,40548,1308,686795,20,1087281,32,0,0,0,2081308559,142951,2081257547
1369930,41856,1308,695348,20,686855,33,0,0,0,2081311175,147665,2081258855
1400043,43164,1308,707294,21,695408,34,0,0,0,2081313791,152078,2081260163
1441367,44472,1308,748618,21,709924,35,0,0,0,2081316407,156109,2081261471
1441470,45780,1308,714453,22,751248,36,0,0,0,2081319023,158966,2081262779
1479722,47088,1308,752705,22,721503,37,0,0,0,2081321639,162849,2081264087
1520108,48396,1308,760662,23,759755,38,0,0,0,2081324255,165614,2081265395
1520212,49704,1308,760766,23,789965,39,0,0,0,2081326871,168228,2081266703
1520287,51012,1308,730003,24,790069,40,0,0,0,2081329487,170933,2081268011
1530095,52320,1308,739811,24,750990,41,0,0,0,2081332103,174631,2081269319
1564260,53628,1308,744655,25,760798,42,0,0,0,2081334719,178020,2081270627
1564358,54936,1308,744753,25,763722,43,0,0,0,2081337335,181275,2081271935
1564406,56244,1308,716696,26,763820,44,0,0,0,2081339951,184554,2081273243
1564440,57552,1308,716730,26,755207,45,0,0,0,2081339951,188756,2081274551
1564473,58860,1308,689974,27,755241,46,0,0,0,2081339951,192902,2081275859
1569444,60168,1308,694945,27,736511,47,0,0,0,2081339951,197904,2081277167
1599953,61476,1308,699743,28,736511,48,0,0,0,2081345183,202620,2081278475
1600027,62784,1308,699817,28,720515,49,0,0,0,2081345183,207071,2081279783
1600066,64092,1308,675150,29,720589,50,0,0,0,2081345183,211448,2081281091
1609543,65400,1308,684627,29,737742,51,0,0,0,2081347799,216695,2081282399
1641958,66708,1308,693260,30,737742,52,0,0,0,2081355647,221442,2081283707
1642033,68016,1308,693335,30,732213,53,0,0,0,2081355647,225751,2081285015
1680532,69324,1308,708971,31,732288,54,0,0,0,2081363495,230002,2081286323
1680604,70632,1308,709043,31,750615,55,0,0,0,2081363495,233555,2081287631
1719552,71940,1308,725891,32,750687,56,0,0,0,2081371343,237119,2081288939
1719628,73248,1308,725967,32,754911,57,0,0,0,2081371343,239982,2081290247
1719668,74556,1308,704648,33,754987,58,0,0,0,2081371343,242928,2081291555
1719701,75864,1308,704681,33,738830,59,0,0,0,2081371343,246873,2081292863
1719735,77172,1308,675245,34,738830,60,0,0,0,2081371343,250791,2081294171
1719765,78480,1308,675275,34,727334,61,0,0,0,2081371343,256016,2081295479
1759870,81096,1308,684883,35,727334,63,0,0,0,2081381807,261104,2081298095
1799886,83712,1308,679071,36,757831,65,0,0,0,2081392271,269354,2081300711
1810151,85020,1308,679580,37,764876,66,0,0,0,2081394887,277839,2081302019
1840041,86328,1308,709470,37,774632,67,0,0,0,2081400119,282464,2081303327
1881358,87636,1308,731646,38,774632,68,0,0,0,2081402735,285466,2081304635
1881461,88944,1308,731749,38,760424,69,0,0,0,2081405351,287407,2081305943
1890114,90252,1308,721756,39,760527,70,0,0,0,2081407967,289544,2081307251
1919484,91560,1308,751126,39,773637,71,0,0,0,2081410583,292373,2081308559
2040291,92868,1308,678855,40,773637,72,0,0,0,2081413199,293774,2081309867
2040399,94176,1308,678963,40,686854,73,0,0,0,2081415815,299206,2081311175
2049747,95484,1308,679453,41,686854,74,0,0,0,2081418431,304471,2081312483
2079279,96792,1308,708985,41,695712,75,0,0,0,2081421047,309562,2081313791
2079493,98100,1308,679391,42,709349,76,0,0,0,2081423663,312869,2081315099
2119637,99408,1308,719535,42,707353,77,0,0,0,2081426279,317892,2081316407
2119746,100716,1308,678318,43,719594,78,0,0,0,2081428895,320484,2081317715
2129932,102024,1308,688504,43,748679,79,0,0,0,2081431511,325582,2081319023
2159836,103332,1308,710180,44,748679,80,0,0,0,2081434127,329946,2081320331
2159943,104640,1308,710287,44,722639,81,0,0,0,2081436743,332951,2081321639
2159994,105948,1308,680212,45,722639,82,0,0,0,2081439359,336031,2081322947
2200622,107256,1308,720840,45,752765,83,0,0,0,2081441975,341008,2081324255
2200729,108564,1308,680561,46,752765,84,0,0,0,2081444591,343357,2081325563
2209316,109872,1308,689148,46,760722,85,0,0,0,2081447207,348355,2081326871
2239845,111180,1308,711902,47,760722,86,0,0,0,2081449823,352684,2081328179
2240270,112488,1308,712327,47,768497,87,0,0,0,2081452439,355501,2081329487
2280425,113796,1308,737177,48,768497,88,0,0,0,2081455055,358393,2081330795
2280530,115104,1308,737282,48,760138,89,0,0,0,2081457671,359787,2081332103
2280582,116412,1308,722354,49,760243,90,0,0,0,2081460287,361446,2081333411
2289566,117720,1308,731338,49,767944,91,0,0,0,2081462903,364295,2081334719
2320381,119028,1308,747458,50,767944,92,0,0,0,2081465519,366659,2081336027
2320485,120336,1308,747562,50,756121,93,0,0,0,2081468135,368133,2081337335
2320537,121644,1308,733183,51,756225,94,0,0,0,2081470751,369855,2081338643
2320572,122952,1308,733218,51,767749,95,0,0,0,2081470751,372724,2081339951
2330137,124260,1308,728608,52,767749,96,0,0,0,2081475983,375673,2081341259
2360351,125568,1308,758822,49,760693,97,0,0,0,2081478599,378997,2081342567
2360461,126876,1308,746022,50,790907,98,0,0,0,2081481215,380372,2081343875
2399944,128184,1308,785505,51,791017,99,0,0,0,2081483831,382843,2081345183
2400050,129492,1308,772700,52,830500,100,0,0,0,2081486447,382863,2081346491
2400101,130800,1308,772751,50,799984,101,0,0,0,2081489063,384145,2081347799
2439833,132108,1308,800410,51,800035,102,0,0,0,2081491679,385691,2081349107
2439941,133416,1308,800518,51,830290,103,0,0,0,2081494295,385687,2081350415
2439993,134724,1308,788757,52,830398,104,0,0,0,2081496911,386108,2081351723
2440028,136032,1308,788792,53,830450,105,0,0,0,2081496911,387644,2081353031
2450416,137340,1308,787367,54,830485,106,0,0,0,2081502143,389401,2081354339
2480211,138648,1308,817162,55,840873,107,0,0,0,2081504759,391442,2081355647
2480315,139956,1308,805452,56,870668,108,0,0,0,2081507375,391748,2081356955
2480366,141264,1308,805503,55,838282,109,0,0,0,2081509991,393169,2081358263
2480402,142572,1308,794165,56,838333,110,0,0,0,2081509991,394816,2081359571
2519893,143880,1308,833656,57,838369,111,0,0,0,2081515223,397380,2081360879
2520001,145188,1308,822390,58,877860,112,0,0,0,2081517839,397531,2081362187
2560166,146496,1308,862555,59,877968,113,0,0,0,2081520455,398778,2081363495
2560288,147804,1308,851304,60,918133,114,0,0,0,2081523071,397765,2081364803
2570286,149112,1308,861302,59,879684,115,0,0,0,2081525687,397991,2081366111
2600379,150420,1308,880362,60,889682,116,0,0,0,2081528303,397976,2081367419
2600469,151728,1308,880452,61,919775,117,0,0,0,2081530919,397209,2081368727
2600535,153036,1308,869486,62,919865,118,0,0,0,2081533535,396939,2081370035
2639570,154344,1308,908521,63,919931,119,0,0,0,2081536151,397748,2081371343
2648330,155652,1308,906248,64,958966,120,0,0,0,2081538767,396534,2081372651
2680029,156960,1308,937947,59,928565,121,0,0,0,2081541383,396008,2081373959
2720444,158268,1308,968343,60,960264,122,0,0,0,2081543999,394119,2081375267
2760513,159576,1308,1008412,61,1000679,123,0,0,0,2081546615,391175,2081376575
2800949,160884,1308,1038829,62,1040748,124,0,0,0,2081549231,386856,2081377883
2840460,162192,1308,1078340,63,1081184,125,0,0,0,2081551847,381965,2081379191
2840566,163500,1308,1068427,64,1120695,126,0,0,0,2081554463,376192,2081380499
2879447,164808,1308,1107308,65,1120801,127,0,0,0,2081557079,372179,2081381807
