now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_cwnd,snd_una
0,1376,1376,42284,0,0,2,0,0,0,2788320128,714248,10.0,
30023,2752,1376,72307,1,42284,3,0,0,1,2788322880,776220,11.0,
70010,4128,1376,112289,2,72307,4,0,0,1,2788325632,765104,12.0,
70078,5504,1376,112357,2,72307,5,0,0,1,2788328384,690608,13.0,
70107,6880,1376,112306,4,112362,6,0,0,1,2788331136,648915,14.0,
118391,8256,1376,160590,5,112391,7,0,0,1,2788333888,625552,15.0,
118477,9632,1376,160676,5,112391,8,0,0,1,2788336640,565856,16.0,
118507,11008,1376,160706,5,112391,9,0,0,1,2788339392,530596,17.0,
148237,12384,1376,190383,8,160791,10,0,0,1,2788342144,509423,18.0,
148319,13760,1376,190465,8,160791,11,0,0,1,2788344896,480225,19.0,
158357,15136,1376,158341,10,190603,12,0,0,1,2788347648,462209,20.0,
158441,16512,1376,158425,10,158357,13,0,0,0,2788350400,466110,21.0,
158472,17888,1376,128400,11,158441,14,0,0,0,2788353152,471921,22.0,
158493,19264,1376,128421,11,128449,15,0,0,0,2788353152,493320,23.0,
163100,20640,1376,93059,12,128470,16,0,0,0,2788353152,514711,24.0,
168212,22016,1376,98171,12,112320,17,0,0,0,2788358656,555229,25.0,
168261,23392,1376,96228,13,112320,18,0,0,0,2788358656,592832,26.0,
173263,24768,1376,101230,13,114312,19,0,0,0,2788361408,631639,27.0,
173306,26144,1376,97032,14,114312,20,0,0,0,2788361408,666655,28.0,
173324,27520,1376,97050,14,118473,21,0,0,0,2788361408,704602,29.0,
178085,28896,1376,59646,15,118473,22,0,0,0,2788364160,742180,30.0,
178126,30272,1376,59687,15,160638,23,0,0,0,2788364160,814118,31.0,
183252,31648,1376,62381,16,160638,24,0,0,0,2788366912,888164,32.0,
183291,33024,1376,62420,16,163070,25,0,0,0,2788366912,960442,33.0,
183817,34400,1376,57759,17,163070,26,0,0,0,2788369664,1033450,34.0,
193147,35776,1376,67089,17,168257,27,0,0,0,2788377920,1114274,35.0,
193190,37152,1376,44908,18,168257,28,0,0,0,2788377920,1179107,36.0,
193208,38528,1376,44926,18,190428,29,0,0,0,2788377920,1286734,37.0,
193225,39904,1376,42078,19,190428,30,0,0,0,2788377920,1396996,38.0,
194130,41280,1376,42983,19,193293,31,0,0,0,2788377920,1516781,39.0,
194154,42656,1376,35752,20,193293,32,0,0,0,2788377920,1635946,40.0,
194170,44032,1376,35768,20,158386,33,0,0,0,2788377920,1781194,41.0,
210241,45408,1376,47235,21,158386,34,0,0,0,2788404064,1929648,42.0,
210282,46784,1376,47276,21,162990,35,0,0,0,2788404064,2029220,43.0,
228222,48160,1376,59385,22,162990,36,0,0,0,2788412320,2126738,44.0,
228306,49536,1376,59469,20,98796,37,0,0,0,2788415072,2163441,45.0,
228339,50912,1376,54545,21,98796,38,0,0,0,2788417824,2200815,46.0,
228359,52288,1376,54565,22,103753,39,0,0,0,2788417824,2263291,47.0,
228379,53664,1376,49629,23,103753,40,0,0,0,2788417824,2324579,48.0,
228397,55040,1376,49647,22,106717,41,0,0,0,2788417824,2411175,49.0,
234946,56416,1376,51839,23,106717,42,0,0,0,2788428832,2495403,50.0,
235117,57792,1376,52010,21,106833,43,0,0,0,2788431584,2564508,51.0,
235146,59168,1376,48331,22,106833,44,0,0,0,2788434336,2631126,52.0,
235167,60544,1376,48352,21,68376,45,0,0,0,2788437088,2719583,53.0,
