now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B
0,1308,1,0,0.01308,2147483647,714989,1308,0,13080
40596,1308,1,0,0.014388,2147483647,755585,2616,0,15696
81956,1308,1,0,0.015695999999999998,2147483647,796921,3924,0,18312
122596,1308,1,0,0.017004,2147483647,837561,5232,0,20928
163129,1308,1,0,0.018312,2147483647,877980,6540,0,23544
202577,1308,1,0,0.01962,2147483647,917428,7848,0,26160
242163,1308,1,0,0.020928,2147483647,957014,9156,0,28776
282564,1308,1,0,0.022236,2147483647,997415,10464,0,31392
319823,1308,1,0,0.023544,2147483647,1034564,11772,0,34008
362619,1308,1,0,0.024852,2147483647,1077360,13080,0,36624
679371,1308,1,0,0.02616,2147483647,679311,14388,0,39240
722429,1308,1,0,0.027468,2147483647,722369,15696,0,41856
759466,1308,1,0,0.028776,2147483647,718809,17004,0,44472
800230,1308,1,0,0.030084,2147483647,759573,18312,0,47088
839745,1308,1,0,0.031391999999999996,2147483647,750807,19620,0,49704
882500,1308,1,0,0.0327,2147483647,793562,20928,0,52320
920212,1308,1,0,0.034008,2147483647,776951,22236,0,54936
963360,1308,1,0,0.035316,2147483647,820099,23544,0,57552
1000177,1308,1,0,0.036624,2147483647,805299,24852,0,60168
1042036,1308,1,0,0.037932,2147483647,847158,26160,0,62784
1080005,1308,1,0,0.03924,2147483647,835657,27468,0,65400
1122627,1308,1,0,0.040548,2147483647,878279,28776,0,68016
1159311,1308,1,0,0.041856,2147483647,867214,30084,0,70632
1202163,1308,1,0,0.043164,2147483647,910066,31392,0,73248
1243056,1308,1,0,0.044472,2147483647,904600,32700,0,75864
1282720,1308,1,0,0.04578,2147483647,944264,34008,0,78480
1320423,1308,1,0,0.047088,2147483647,936730,35316,0,81096
1360114,1308,1,0,0.048395999999999995,2147483647,976421,36624,0,83712
1400889,1308,1,0,0.049704,2147483647,972891,37932,0,86328
1442352,1308,1,0,0.051011999999999995,2147483647,1014354,39240,0,88944
1482502,1308,1,0,0.05232,2147483647,803069,40548,0,91560
1521940,1308,1,0,0.053627999999999995,2147483647,842507,41856,0,94176
1562532,1308,1,0,0.054936,2147483647,840043,43164,0,96792
1602392,1308,1,0,0.056243999999999995,2147483647,879903,44472,0,99408
1642744,1308,1,0,0.057552,2147483647,883218,45780,0,102024
1681830,1308,1,0,0.058859999999999996,2147483647,922304,47088,0,104640
1722494,1308,1,0,0.060168,2147483647,922203,48396,0,107256
1760363,1308,1,0,0.061475999999999996,2147483647,960072,49704,0,109872
1800674,1308,1,0,0.06278399999999999,2147483647,960868,51012,0,112488
1841494,1308,1,0,0.064092,2147483647,1001688,52320,0,115104
1878521,1308,1,0,0.0654,2147483647,995959,53628,0,117720
1920511,1308,1,0,0.066708,2147483647,1037949,54936,0,120336
1959968,1308,1,0,0.068016,2147483647,1039697,56244,0,122952
2003626,1308,1,0,0.069324,2147483647,1083355,57552,0,125568
2040032,1308,1,0,0.070632,2147483647,1076612,58860,0,128184
2082431,1308,1,0,0.07193999999999999,2147483647,1119011,60168,0,130800
2120624,1308,1,0,0.073248,2147483647,1120387,61476,0,133416
2162676,1308,1,0,0.074556,2147483647,1162439,62784,0,136032
2199630,1308,1,0,0.075864,2147483647,1157534,64092,0,138648
2242574,1308,1,0,0.07717199999999999,2147483647,1200478,65400,0,141264
2280765,1308,1,0,0.07848,2147483647,1200699,66708,0,143880
2320241,1308,1,0,0.079788,2147483647,1240175,68016,0,146496
2359399,1308,1,0,0.081096,2147483647,1236710,69324,0,149112
2400392,1308,1,0,0.08240399999999999,2147483647,1277703,70632,0,151728
2400497,1308,1,0,0.083712,2147483647,1241127,71940,0,154344
2442275,1308,1,0,0.08502,2147483647,1282905,73248,0,156960
2481905,1308,1,0,0.086328,2147483647,1279681,74556,0,159576
2482006,1308,1,0,0.08763599999999999,2147483647,1279782,75864,0,162192
2522582,1308,1,0,0.088944,2147483647,1279467,77172,0,164808
2560196,1308,1,0,0.090252,2147483647,1317081,78480,0,167424
2560303,1308,1,0,0.09156,2147483647,1277519,79788,0,170040
2602929,1308,1,0,0.09286799999999999,2147483647,1320145,81096,0,172656
2641828,2616,1,0,0.094176,2147483647,1321345,83712,0,175272
2641953,1308,1,0,0.09679199999999999,2147483647,1281778,85020,0,180504
2682389,1308,1,0,0.09809999999999999,2147483647,1322214,86328,0,183120
2719158,1308,1,0,0.099408,2147483647,1318209,87636,0,185736
2719261,1308,1,0,0.100716,2147483647,1318312,88944,0,188352
2762161,1308,1,0,0.10202399999999999,2147483647,1319748,90252,0,190968
2762267,1308,1,0,0.103332,2147483647,1319854,91560,0,193584
2799639,1308,1,0,0.10464,2147483647,1317079,92868,0,196200
2842723,1308,1,0,0.105948,2147483647,1360163,94176,0,198816
2842827,1308,1,0,0.10725599999999999,2147483647,1320827,95484,0,201432
2883295,1308,1,0,0.108564,2147483647,1361295,96792,0,204048
2920175,1308,1,0,0.109872,2147483647,1357583,98100,0,206664
2920277,1308,1,0,0.11118,2147483647,1357685,99408,0,209280
2962588,1308,1,0,0.11248799999999999,2147483647,1360140,100716,0,211896
2997464,1308,1,0,0.113796,2147483647,1395016,102024,0,214512
2997584,1308,1,0,0.115104,2147483647,1354780,103332,0,217128
2997636,1308,1,0,0.116412,2147483647,1354832,104640,0,219744
3039911,1308,1,0,0.11771999999999999,2147483647,1358020,105948,0,222360
3040028,1308,1,0,0.119028,2147483647,1358137,107256,0,224976
3040086,1308,1,0,0.120336,2147483647,1317532,108564,0,227592
3079883,1308,1,0,0.12164399999999999,2147483647,1357329,109872,0,230208
3079984,1308,1,0,0.12295199999999999,2147483647,1319559,111180,0,232824
3122226,1308,1,0,0.12426,2147483647,1361801,112488,0,235440
3122339,1308,1,0,0.12556799999999999,2147483647,1321607,113796,0,238056
3122417,1308,1,0,0.126876,2147483647,1321685,115104,0,240672
3162659,1308,1,0,0.128184,2147483647,1321102,116412,0,243288
3162763,1308,1,0,0.129492,2147483647,1321206,117720,0,245904
3163034,1308,1,0,0.1308,2147483647,1284452,119028,0,248520
3199068,1308,1,0,0.132108,2147483647,1320486,120336,0,251136
3199174,1308,1,0,0.133416,2147483647,1278601,121644,0,253752
3199226,1308,1,0,0.13472399999999998,2147483647,1278653,122952,0,256368
3242505,1308,1,0,0.136032,2147483647,1282476,124260,0,258984
3242616,1308,1,0,0.13734,2147483647,1282587,125568,0,261600
3280525,1308,1,0,0.138648,2147483647,1276837,126876,0,264216
3280628,1308,1,0,0.139956,2147483647,1276940,128184,0,266832
3280681,1308,1,0,0.141264,2147483647,1240589,129492,0,269448
3321699,1308,1,0,0.142572,2147483647,1281607,130800,0,272064
3321803,1308,1,0,0.14387999999999998,2147483647,1239310,132108,0,274680
3321857,1308,1,0,0.14518799999999998,2147483647,1239364,133416,0,277296
3359457,1308,1,0,0.146496,2147483647,1238772,134724,0,279912
3359561,1308,1,0,0.147804,2147483647,1238876,136032,0,282528
3399873,1308,1,0,0.149112,2147483647,1237136,137340,0,285144
3399979,1308,1,0,0.15042,2147483647,1237242,138648,0,287760
3400031,1308,1,0,0.151728,2147483647,1200341,139956,0,290376
3441743,1308,1,0,0.153036,2147483647,1242053,141264,0,292992
3441849,1308,1,0,0.15434399999999998,2147483647,1199214,142572,0,295608
3441901,1308,1,0,0.15565199999999998,2147483647,1199266,143880,0,298224
3482607,1308,1,0,0.15696,2147483647,1201778,145188,0,300840
3482725,1308,1,0,0.158268,2147483647,1201896,146496,0,303456
3482781,2616,1,0,0.159576,2147483647,1162478,149112,0,306072
3522342,1308,1,0,0.162192,2147483647,1162883,150420,0,311304
3522453,1308,1,0,0.1635,2147483647,1162994,151728,0,313920
3557116,1308,1,0,0.16480799999999998,2147483647,1156662,153036,0,316536
3557536,1308,1,0,0.16611599999999999,2147483647,1157082,154344,0,319152
3557628,1308,1,0,0.167424,2147483647,1148263,155652,0,321768
3602070,1308,1,0,0.168732,2147483647,1192705,156960,0,324384
3602188,1308,1,0,0.17004,2147483647,1159853,158268,0,327000
3602242,1308,1,0,0.171348,2147483647,1159907,159576,0,329616
3640727,1308,1,0,0.172656,2147483647,1158764,160884,0,332232
3640843,1308,1,0,0.17396399999999998,2147483647,1158880,162192,0,334848
3683165,1308,1,0,0.17527199999999998,2147483647,1192373,163500,0,337464
3683279,1308,1,0,0.17658,2147483647,1192487,164808,0,340080
3722036,1308,1,0,0.177888,2147483647,1199394,166116,0,342696
3722149,1308,1,0,0.179196,2147483647,1199507,167424,0,345312
3760110,1308,1,0,0.180504,2147483647,1199851,168732,0,347928
3760228,1308,1,0,0.181812,2147483647,1199969,170040,0,350544
3800924,1308,1,0,0.18312,2147483647,1231954,171348,0,353160
3801039,1308,1,0,0.18442799999999998,2147483647,1232069,172656,0,355776
3842061,1308,1,0,0.18573599999999998,2147483647,1239073,173964,0,358392
3843195,1308,1,0,0.187044,2147483647,1240207,175272,0,361008
3879981,2616,1,0,0.188352,2147483647,1238093,177888,0,363624
3880109,1308,1,0,0.190968,2147483647,1229782,179196,0,368856
3880149,1308,1,0,0.192276,2147483647,1229822,180504,0,368856
3922377,1308,1,0,0.19358399999999998,2147483647,1255173,181812,0,374088
3922503,1308,1,0,0.19489199999999998,2147483647,1255299,183120,0,376704
3962166,1308,1,0,0.19619999999999999,2147483647,1278256,184428,0,379320
3962307,1308,1,0,0.197508,2147483647,1278397,185736,0,381936
4003037,1308,1,0,0.198816,2147483647,1283820,187044,0,384552
4003154,1308,1,0,0.200124,2147483647,1283937,188352,0,387168
4037816,1308,1,0,0.201432,2147483647,1310361,189660,0,389784
4037934,1308,1,0,0.20274,2147483647,1310479,190968,0,392400
4082621,2616,1,0,0.20404799999999998,2147483647,1320399,193584,0,395016
4082777,1308,1,0,0.206664,2147483647,1312450,194892,0,400248
4119872,1308,1,0,0.207972,2147483647,1349545,196200,0,402864
4119992,1308,1,0,0.20928,2147483647,1320293,197508,0,405480
4162359,1308,1,0,0.210588,2147483647,1362660,198816,0,408096
4162478,1308,1,0,0.211896,2147483647,1319694,200124,0,410712
4202124,1308,1,0,0.21320399999999998,2147483647,1359340,201432,0,413328
4202298,1308,1,0,0.21451199999999998,2147483647,1351598,202740,0,415944
4202348,1308,1,0,0.21581999999999998,2147483647,1351648,204048,0,418560
4242549,1308,1,0,0.217128,2147483647,1359192,205356,0,421176
4242667,1308,1,0,0.218436,2147483647,1359310,206664,0,423792
4282950,1308,1,0,0.219744,2147483647,1362716,207972,0,426408
4283074,1308,1,0,0.221052,2147483647,1362840,209280,0,429024
4322489,1308,1,0,0.22236,2147483647,1394521,210588,0,431640
4322603,1308,1,0,0.22366799999999998,2147483647,1394635,211896,0,434256
4322656,1308,1,0,0.22497599999999998,2147483647,1360008,213204,0,436872
4362511,1308,1,0,0.22628399999999999,2147483647,1399863,214512,0,439488
4362626,1308,1,0,0.227592,2147483647,1365100,215820,0,442104
4362677,1308,1,0,0.2289,2147483647,1365151,217128,0,444720
4401976,1308,1,0,0.230208,2147483647,1396871,218436,0,447336
4402091,1308,1,0,0.231516,2147483647,1396986,219744,0,449952
4402144,1308,1,0,0.232824,2147483647,1382023,221052,0,452568
4441891,1308,1,0,0.23413199999999998,2147483647,1421770,222360,0,455184
4442011,1308,1,0,0.23543999999999998,2147483647,1402041,223668,0,457800
4482436,1308,1,0,0.236748,2147483647,1442466,224976,0,460416
4482552,1308,1,0,0.238056,2147483647,1432818,226284,0,463032
4482602,1308,1,0,0.239364,2147483647,1432868,227592,0,465648
4519045,1308,1,0,0.240672,2147483647,1454710,228900,0,468264
4519160,1308,1,0,0.24198,2147483647,1454825,230208,0,470880
