now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_una
0,1308,1308,714989,0,0,2,0,0,1,1161016388,38472,1161004616
40596,2616,1308,755585,1,714989,3,0,0,1,1161019004,42049,1161005924
81956,3924,1308,796921,2,755585,4,0,0,1,1161021620,45282,1161007232
122596,5232,1308,837561,3,796945,5,0,0,1,1161024236,48156,1161008540
163129,6540,1308,877980,4,837585,6,0,0,1,1161026852,50681,1161009848
202577,7848,1308,917428,5,878118,7,0,0,1,1161029468,52881,1161011156
242163,9156,1308,957014,6,917566,8,0,0,1,1161032084,54787,1161012464
282564,10464,1308,997415,7,957152,9,0,0,1,1161034700,56429,1161013772
319823,11772,1308,1034564,8,997553,10,0,0,1,1161037316,57829,1161015080
362619,13080,1308,1077360,9,1034812,11,0,0,1,1161039932,59044,1161016388
679371,14388,1308,679311,10,1077608,12,0,0,1,1161042548,60051,1161017696
722429,15696,1308,722369,10,715049,13,0,0,0,1161045164,64840,1161019004
759466,17004,1308,718809,11,722429,14,0,0,0,1161047780,69202,1161020312
800230,18312,1308,759573,11,755646,15,0,0,0,1161050396,73596,1161021620
839745,19620,1308,750807,12,759634,16,0,0,0,1161053012,77483,1161022928
882500,20928,1308,793562,12,803903,17,0,0,0,1161055628,81459,1161024236
920212,22236,1308,776951,13,803903,18,0,0,0,1161058244,84840,1161025544
963360,23544,1308,820099,13,858226,19,0,0,0,1161060860,88444,1161026852
1000177,24852,1308,805299,14,858226,20,0,0,0,1161063476,91412,1161028160
1042036,26160,1308,847158,14,909729,21,0,0,0,1161066092,94618,1161029468
1080005,27468,1308,835657,15,909729,22,0,0,0,1161068708,97193,1161030776
1122627,28776,1308,878279,15,959199,23,0,0,0,1161071324,99996,1161032084
1159311,30084,1308,867214,16,959199,24,0,0,0,1161073940,102162,1161033392
1202163,31392,1308,910066,16,1006948,25,0,0,0,1161076556,104592,1161034700
1243056,32700,1308,904600,17,1006948,26,0,0,0,1161079172,106397,1161036008
1282720,34008,1308,944264,17,1053307,27,0,0,0,1161081788,108413,1161037316
1320423,35316,1308,936730,18,1053307,28,0,0,0,1161084404,109889,1161038624
1360114,36624,1308,976421,18,1098434,29,0,0,0,1161087020,111643,1161039932
1400889,37932,1308,972891,19,1098434,30,0,0,0,1161089636,112879,1161041240
1442352,39240,1308,1014354,19,1142739,31,0,0,0,1161092252,114353,1161042548
1482502,40548,1308,803069,20,1142739,32,0,0,0,1161094868,115311,1161043856
1521940,41856,1308,842507,20,803131,33,0,0,0,1161097484,119918,1161045164
1562532,43164,1308,840043,21,842569,34,0,0,0,1161100100,123741,1161046472
1602392,44472,1308,879903,21,840103,35,0,0,0,1161102716,127546,1161047780
1642744,45780,1308,883218,22,879963,36,0,0,0,1161105332,130550,1161049088
1681830,47088,1308,922304,22,883278,37,0,0,0,1161107948,133488,1161050396
1722494,48396,1308,922203,23,922364,38,0,0,0,1161110564,135677,1161051704
1760363,49704,1308,960072,23,922264,39,0,0,0,1161113180,137941,1161053012
1800674,51012,1308,960868,24,960133,40,0,0,0,1161115796,139531,1161054320
