now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B
0,1308,1,0,0.01308,2147483647,716792,1308,0,13080
39097,1308,1,0,0.014388,2147483647,755889,2616,0,15696
78112,1308,1,0,0.015695999999999998,2147483647,794881,3924,0,18312
118777,1308,1,0,0.017004,2147483647,835546,5232,0,20928
159590,1308,1,0,0.018312,2147483647,876255,6540,0,23544
199722,1308,1,0,0.01962,2147483647,916387,7848,0,26160
238036,1308,1,0,0.020928,2147483647,954701,9156,0,28776
279129,1308,1,0,0.022236,2147483647,995794,10464,0,31392
319271,1308,1,0,0.023544,2147483647,1035831,11772,0,34008
358685,1308,1,0,0.024852,2147483647,1075245,13080,0,36624
679058,2616,1,0,0.02616,2147483647,678998,15696,0,39240
719235,1308,1,0,0.028776,2147483647,680076,17004,0,44472
758886,1308,1,0,0.030084,2147483647,719727,18312,0,47088
799190,1308,1,0,0.031391999999999996,2147483647,710547,19620,0,49704
839088,1308,1,0,0.0327,2147483647,750445,20928,0,52320
878834,1308,1,0,0.034008,2147483647,736032,22236,0,54936
919564,1308,1,0,0.035316,2147483647,776762,23544,0,57552
958924,2616,1,0,0.036624,2147483647,764657,26160,0,60168
998896,1308,1,0,0.03924,2147483647,755298,27468,0,65400
1039163,1308,1,0,0.040548,2147483647,795565,28776,0,68016
1078074,1308,1,0,0.041856,2147483647,786849,30084,0,70632
1119248,1308,1,0,0.043164,2147483647,828023,31392,0,73248
1159392,1308,1,0,0.044472,2147483647,821925,32700,0,75864
1198806,1308,1,0,0.04578,2147483647,861339,34008,0,78480
1239278,1308,1,0,0.047088,2147483647,856682,35316,0,81096
1278414,1308,1,0,0.048395999999999995,2147483647,895818,36624,0,83712
1320700,1308,1,0,0.049704,2147483647,893880,37932,0,86328
1361787,1308,1,0,0.051011999999999995,2147483647,934967,39240,0,88944
1400384,1308,1,0,0.05232,2147483647,721263,40548,0,91560
1439235,1308,1,0,0.053627999999999995,2147483647,760114,41856,0,94176
1479231,1308,1,0,0.054936,2147483647,780887,43164,0,96792
1519206,1308,1,0,0.056243999999999995,2147483647,820862,44472,0,99408
1558468,1308,1,0,0.057552,2147483647,821679,45780,0,102024
1599178,1308,1,0,0.058859999999999996,2147483647,862389,47088,0,104640
1640071,2616,1,0,0.060168,2147483647,867408,49704,0,107256
1679229,1308,1,0,0.06278399999999999,2147483647,872736,51012,0,112488
1718190,1308,1,0,0.064092,2147483647,911697,52320,0,115104
1759920,2616,1,0,0.0654,2147483647,920771,54936,0,117720
1799572,2616,1,0,0.068016,2147483647,920678,57552,0,122952
1838441,2616,1,0,0.070632,2147483647,918814,60168,0,128184
1878267,1308,1,0,0.073248,2147483647,919280,61476,0,133416
1918401,1308,1,0,0.074556,2147483647,959414,62784,0,136032
1958011,1308,1,0,0.075864,2147483647,985986,64092,0,138648
1997946,1308,1,0,0.07717199999999999,2147483647,1025921,65400,0,141264
2038380,1308,1,0,0.07848,2147483647,1039424,66708,0,143880
2079039,1308,1,0,0.079788,2147483647,1080083,68016,0,146496
