now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
0,1308,1308,675831,0,0,2,0,0,1,1615524230,38522
39589,2616,1308,715420,1,675831,3,0,0,1,1615526846,42400
80218,5232,1308,756029,2,715420,5,0,0,1,1615529462,45943
80319,6540,1308,756010,4,756049,6,0,0,1,1615534694,52897
120192,7848,1308,795883,5,756150,7,0,0,1,1615537310,56031
158948,9156,1308,834639,6,796023,8,0,0,1,1615539926,58764
159220,10464,1308,834911,7,834779,9,0,0,1,1615539926,61124
199508,11772,1308,875098,8,835051,10,0,0,1,1615542542,63548
239243,13080,1308,914833,9,875339,11,0,0,1,1615545158,65594
679550,14388,1308,679473,10,915074,12,0,0,1,1615550390,67302
719720,15696,1308,719643,10,679550,13,0,0,0,1615553006,71798
799732,17004,1308,760085,11,719720,14,0,0,0,1615555622,75780
839220,18312,1308,799573,11,760143,15,0,0,0,1615558238,79216
879997,19620,1308,792130,12,799631,16,0,0,0,1615560854,82120
919156,20928,1308,831289,11,799779,17,0,0,0,1615563470,85157
959052,22236,1308,821731,12,838938,18,0,0,0,1615566086,87660
999338,23544,1308,862017,13,878834,19,0,0,0,1615568702,90365
1039531,24852,1308,852755,14,919120,20,0,0,0,1615571318,92522
1079104,26160,1308,892328,14,959212,21,0,0,0,1615573934,94911
1119495,27468,1308,886031,15,998785,22,0,0,0,1615576550,96776
1158883,28776,1308,925419,15,999303,23,0,0,0,1615579166,98858
1199947,30084,1308,921966,16,1038691,24,0,0,0,1615581782,100438
1239979,31392,1308,961998,15,1040727,25,0,0,0,1615584398,102220
1279079,32700,1308,959932,16,1080759,26,0,0,0,1615587014,103518
1319129,34008,1308,999982,16,1079571,27,0,0,0,1615589630,105024
1359110,35316,1308,1000081,17,1119621,28,0,0,0,1615592246,106075
1399086,36624,1308,1040057,17,1119867,29,0,0,0,1615594862,107325
1439748,37932,1308,1041850,18,1159843,30,0,0,0,1615597478,108154
1479631,39240,1308,1081733,19,1200505,31,0,0,0,1615600094,109178
1519923,40548,1308,840294,20,1240388,32,0,0,0,1615602710,109814
1559206,41856,1308,879577,20,840373,33,0,0,0,1615605326,114247
1599999,43164,1308,880200,21,879656,34,0,0,0,1615607942,117964
1639192,44472,1308,919393,21,880279,35,0,0,0,1615610558,121608
1674148,45780,1308,874358,22,919472,36,0,0,0,1615613174,124530
1714331,47088,1308,914541,22,874416,37,0,0,0,1615615790,128227
1759712,48396,1308,920432,23,914599,38,0,0,0,1615618406,131139
1799950,49704,1308,960670,23,920492,39,0,0,0,1615621022,133938
1850087,51012,1308,970031,24,960730,40,0,0,0,1615623638,135998
1886970,52320,1308,1006914,24,970090,41,0,0,0,1615626254,137958
1915983,53628,1308,996767,25,1006973,42,0,0,0,1615628870,139316
1941051,54936,1308,1021835,25,996827,43,0,0,0,1615631486,141015
1954348,56244,1308,995218,26,1021895,44,0,0,0,1615634102,142356
2002528,57552,1308,1043398,26,995296,45,0,0,0,1615636718,144345
2002759,58860,1308,1003360,27,1043476,46,0,0,0,1615639334,145499
2038891,60168,1308,1039492,27,1003421,47,0,0,0,1615641950,147577
2078612,61476,1308,1039021,28,1039553,48,0,0,0,1615644566,149027
2078818,62784,1308,1039227,28,1039081,49,0,0,0,1615647182,150615
2119060,64092,1308,1039897,29,1039287,50,0,0,0,1615649798,152311
2154380,65400,1308,1075217,29,1039956,51,0,0,0,1615652414,154092
2154498,66708,1308,1034945,30,1075276,52,0,0,0,1615655030,155278
2199649,68016,1308,1080096,30,1035003,53,0,0,0,1615657646,157396
2239499,69324,1308,1080556,31,1080154,54,0,0,0,1615660262,158680
2239759,70632,1308,1080816,31,1080616,55,0,0,0,1615662878,160096
2279113,73248,1308,1079088,32,1080876,57,0,0,0,1615665494,161628
2314011,75864,1308,1073971,33,1079166,59,0,0,0,1615670726,165814
2314137,77172,1308,1035002,34,1074032,60,0,0,0,1615675958,170171
2355144,78480,1308,1076009,34,1035058,61,0,0,0,1615678574,172887
2355243,79788,1308,1036051,35,1076065,62,0,0,0,1615681190,174724
2395147,81096,1308,1075955,35,1036114,63,0,0,0,1615683806,177474
2438989,82404,1308,1079821,36,1076018,64,0,0,0,1615686422,179344
2439140,83712,1308,1079972,36,1079879,65,0,0,0,1615689038,181197
2479228,85020,1308,1080082,37,1080030,66,0,0,0,1615691654,183113
2519131,86328,1308,1119985,37,1080142,67,0,0,0,1615694270,185086
2519231,88944,1308,1079409,38,1120045,69,0,0,0,1615696886,186238
2559189,90252,1308,1079483,39,1079483,70,0,0,0,1615702118,190873
2594652,91560,1308,1114946,39,1081808,71,0,0,0,1615704734,193084
2594958,92868,1308,1074978,40,1115021,72,0,0,0,1615707350,194515
2634068,94176,1308,1114088,40,1075035,73,0,0,0,1615709966,196967
2679259,95484,1308,1119993,41,1114145,74,0,0,0,1615712582,198516
2679604,96792,1308,1120338,41,1120053,75,0,0,0,1615715198,200025
2719526,99408,1308,1119454,42,1120398,77,0,0,0,1615717814,201626
2759049,102024,1308,1119797,43,1119527,79,0,0,0,1615723046,205728
2759158,103332,1308,1084931,44,1119857,80,0,0,0,1615728278,209883
2799602,104640,1308,1125375,44,1085010,81,0,0,0,1615730894,212556
2799701,105948,1308,1085310,45,1125454,82,0,0,0,1615733510,214211
2838572,107256,1308,1124181,45,1085370,83,0,0,0,1615736126,216931
2874580,108564,1308,1114809,46,1124241,84,0,0,0,1615738742,218647
2874902,109872,1308,1115131,46,1114868,85,0,0,0,1615741358,220671
2914367,112488,1308,1114348,47,1115190,87,0,0,0,1615743974,222725
2961019,113796,1308,1110876,48,1114417,88,0,0,0,1615749206,227199
2961125,115104,1308,1110982,48,1110932,89,0,0,0,1615751822,229422
2999667,116412,1308,1112638,49,1111038,90,0,0,0,1615754438,231658
3038544,117720,1308,1151515,49,1112697,91,0,0,0,1615757054,233864
3038652,119028,1308,1122591,50,1151574,92,0,0,0,1615759670,235056
3074399,120336,1308,1158338,50,1122669,93,0,0,0,1615762286,237149
3114152,121644,1308,1173041,51,1158416,94,0,0,0,1615764902,238315
3114272,122952,1308,1173161,51,1173101,95,0,0,0,1615767518,239226
3159057,124260,1308,1204651,52,1173221,96,0,0,0,1615770134,240300
3199036,125568,1308,1244630,52,1204709,97,0,0,0,1615772750,240685
3199136,126876,1308,1196583,53,1244688,98,0,0,0,1615775366,240256
3238406,128184,1308,1235853,53,1196608,99,0,0,0,1615777982,241414
3238521,130800,1308,1226978,54,1235878,101,0,0,0,1615780598,241680
3279106,132108,1308,1240154,55,1235762,102,0,0,0,1615785830,244639
3279207,133416,1308,1240255,55,1240215,103,0,0,0,1615788446,245198
3313784,134724,1308,1235114,56,1240316,104,0,0,0,1615791062,245953
3314128,136032,1308,1235458,56,1235172,105,0,0,0,1615793678,247012
3353597,137340,1308,1266243,57,1235516,106,0,0,0,1615796294,248194
3353695,138648,1308,1266341,57,1274779,107,0,0,0,1615798910,248698
3353744,139956,1308,1234624,58,1274877,108,0,0,0,1615801526,249400
3394044,141264,1308,1274924,58,1234684,109,0,0,0,1615804142,251089
3394142,142572,1308,1239682,59,1274984,110,0,0,0,1615806758,251790
3438715,143880,1308,1284255,59,1239762,111,0,0,0,1615809374,253569
3438831,145188,1308,1275947,60,1284335,112,0,0,0,1615811990,254236
3478543,146496,1308,1315659,60,1284333,113,0,0,0,1615814606,255290
3478759,147804,1308,1279049,61,1324045,114,0,0,0,1615817222,255449
3519101,149112,1308,1319391,61,1279110,115,0,0,0,1615819838,256780
3519201,150420,1308,1279681,62,1319452,116,0,0,0,1615822454,257167
3555183,151728,1308,1315663,62,1279702,117,0,0,0,1615825070,258771
3555304,153036,1308,1307614,63,1315684,118,0,0,0,1615827686,259507
3594384,154344,1308,1346694,63,1315545,119,0,0,0,1615830302,260606
3594903,155652,1308,1315729,64,1354625,120,0,0,0,1615832918,260820
3639834,156960,1308,1360660,63,1315790,121,0,0,0,1615835534,262044
3639946,158268,1308,1352884,64,1360721,122,0,0,0,1615838150,262221
3679044,159576,1308,1391982,65,1360833,123,0,0,0,1615840766,262820
3679141,160884,1308,1365068,66,1399931,124,0,0,0,1615843382,262610
3679188,162192,1308,1365115,65,1365130,125,0,0,0,1615845998,263344
3719131,163500,1308,1397372,66,1365177,126,0,0,0,1615848614,264226
3719233,164808,1308,1397474,67,1405120,127,0,0,0,1615851230,264436
3759414,166116,1308,1422282,68,1405222,128,0,0,0,1615853846,264859
3759752,167424,1308,1422620,68,1445277,129,0,0,0,1615856462,264859
3794183,168732,1308,1438979,69,1445615,130,0,0,0,1615859078,265091
3794308,170040,1308,1439104,69,1439039,131,0,0,0,1615861694,265134
3834049,171348,1308,1466813,70,1439164,132,0,0,0,1615864310,265405
3834158,172656,1308,1466922,70,1478806,133,0,0,0,1615866926,265214
3878809,173964,1308,1483580,71,1478915,134,0,0,0,1615869542,265279
3878906,175272,1308,1483677,71,1483662,135,0,0,0,1615872158,265176
3878956,176580,1308,1439909,72,1483759,136,0,0,0,1615874774,265315
3878987,177888,1308,1439940,72,1439967,137,0,0,0,1615874774,266686
3918952,179196,1308,1472686,73,1439998,138,0,0,0,1615880006,268111
3919051,180504,1308,1472785,73,1479812,139,0,0,0,1615882622,268812
3919097,183120,1308,1439805,74,1479911,141,0,0,0,1615885238,269645
3919128,184428,1308,1399937,75,1439869,142,0,0,0,1615885238,273195
3958327,185736,1308,1439136,75,1399997,143,0,0,0,1615893086,275890
3958422,187044,1308,1432207,76,1439196,144,0,0,0,1615895702,277539
3958464,188352,1308,1432249,75,1439191,145,0,0,0,1615898318,279377
3958496,189660,1308,1418576,76,1439233,146,0,0,0,1615898318,281213
3998327,190968,1308,1458407,77,1439265,147,0,0,0,1615903550,283385
3998424,192276,1308,1439177,78,1479096,148,0,0,0,1615906166,284528
3998465,193584,1308,1439218,78,1439235,149,0,0,0,1615908782,286230
3998496,194892,1308,1403784,79,1439276,150,0,0,0,1615908782,287945
4033747,196200,1308,1439035,79,1403844,151,0,0,0,1615914014,290568
4033861,197508,1308,1432424,80,1439095,152,0,0,0,1615916630,292203
4033905,198816,1308,1432468,80,1438903,153,0,0,0,1615919246,294030
4073386,200124,1308,1439239,81,1438947,154,0,0,0,1615921862,295855
4073483,201432,1308,1439336,81,1439318,155,0,0,0,1615924478,297504
4073532,202740,1308,1394214,82,1439415,156,0,0,0,1615927094,299171
4073563,204048,1308,1394245,82,1394273,157,0,0,0,1615927094,302044
4114167,205356,1308,1428310,83,1394304,158,0,0,0,1615932326,304803
4114265,206664,1308,1428408,83,1434563,159,0,0,0,1615934942,306542
4114314,207972,1308,1394724,84,1434661,160,0,0,0,1615937558,308290
4114345,209280,1308,1394755,83,1394788,161,0,0,0,1615937558,310966
4153765,210588,1308,1427817,84,1394819,162,0,0,0,1615942790,313549
4153863,211896,1308,1427915,85,1434239,163,0,0,0,1615945406,315130
4153914,214512,1308,1394805,86,1434337,165,0,0,0,1615948022,316739
4153946,215820,1308,1388605,86,1394865,166,0,0,0,1615948022,321150
4203527,217128,1308,1438186,87,1394897,167,0,0,0,1615955870,323817
4203648,218436,1308,1425843,88,1444478,168,0,0,0,1615958486,324965
4203695,219744,1308,1425890,88,1444490,169,0,0,0,1615961102,326552
4203728,221052,1308,1404065,89,1444537,170,0,0,0,1615961102,328167
4243911,222360,1308,1444248,89,1404126,171,0,0,0,1615966334,330443
4244012,223668,1308,1438243,90,1444309,172,0,0,0,1615968950,331495
4244059,224976,1308,1438290,90,1444311,173,0,0,0,1615971566,332816
4244091,226284,1308,1405437,91,1444358,174,0,0,0,1615971566,334197
4283424,227592,1308,1444770,91,1405519,175,0,0,0,1615976798,336600
4283546,228900,1308,1408907,92,1444852,176,0,0,0,1615979414,337771
4283593,230208,1308,1408954,92,1408966,177,0,0,0,1615982030,340088
4283628,231516,1308,1403062,93,1409013,178,0,0,0,1615982030,342350
4313684,232824,1308,1433118,93,1408726,179,0,0,0,1615987262,344743
4313784,234132,1308,1399355,94,1438782,180,0,0,0,1615989878,346156
4313832,235440,1308,1399403,93,1399417,181,0,0,0,1615992494,348654
4313862,236748,1308,1393676,94,1399465,182,0,0,0,1615992494,351077
4354168,238056,1308,1433982,95,1399495,183,0,0,0,1615997726,353614
4354270,239364,1308,1393192,96,1439801,184,0,0,0,1616000342,354807
4354315,240672,1308,1393237,96,1393251,185,0,0,0,1616002958,357363
4394647,241980,1308,1427868,97,1393296,186,0,0,0,1616005574,359838
4394855,243288,1308,1428076,97,1433522,187,0,0,0,1616008190,361132
4394928,244596,1308,1395203,98,1433730,188,0,0,0,1616010806,362486
4394971,245904,1308,1395246,98,1395261,189,0,0,0,1616013422,364958
4443571,247212,1308,1404966,99,1395304,190,0,0,0,1616016038,367358
4443667,248520,1308,1405062,99,1405027,191,0,0,0,1616018654,369378
4443715,249828,1308,1399545,100,1405123,192,0,0,0,1616021270,371375
4443771,251136,1308,1399601,100,1405063,193,0,0,0,1616021270,373539
4484021,252444,1308,1409562,101,1405119,194,0,0,0,1616026502,375666
4484122,253752,1308,1409663,101,1409622,195,0,0,0,1616029118,377428
4484203,255060,1308,1369971,102,1409723,196,0,0,0,1616031734,379198
4484240,256368,1308,1370008,102,1370051,197,0,0,0,1616034350,382326
4523390,257676,1308,1403691,103,1370088,198,0,0,0,1616036966,385313
4523513,258984,1308,1403814,103,1409118,199,0,0,0,1616039582,387007
4523560,260292,1308,1364445,104,1409241,200,0,0,0,1616042198,388717
4523590,261600,1308,1364475,104,1364503,201,0,0,0,1616042198,391823
4523618,262908,1308,1324522,105,1364533,202,0,0,0,1616042198,394791
4523647,264216,1308,1324551,105,1324582,203,0,0,0,1616042198,399073
4553407,265524,1308,1348866,106,1324611,204,0,0,0,1616052662,403099
4553496,266832,1308,1348955,106,1354271,205,0,0,0,1616055278,405994
4553535,268140,1308,1315052,107,1354360,206,0,0,0,1616055278,408775
4553563,269448,1308,1315080,107,1315129,207,0,0,0,1616055278,412737
4553592,270756,1308,1309697,108,1315157,208,0,0,0,1616055278,416476
4593180,272064,1308,1349285,107,1315071,209,0,0,0,1616065742,420226
4593280,273372,1308,1338691,108,1354659,210,0,0,0,1616068358,422225
4593327,274680,1308,1338738,109,1354759,211,0,0,0,1616070974,424632
4593359,275988,1308,1314191,110,1354806,212,0,0,0,1616070974,426984
4593386,277296,1308,1314218,110,1314253,213,0,0,0,1616070974,430269
4593414,278604,1308,1308912,111,1314280,214,0,0,0,1616070974,433403
4639032,279912,1308,1354530,111,1314207,215,0,0,0,1616081438,436621
4639132,281220,1308,1325269,112,1359825,216,0,0,0,1616084054,437823
4639180,282528,1308,1325317,112,1325348,217,0,0,0,1616086670,440318
4639211,283836,1308,1320053,113,1325396,218,0,0,0,1616086670,442749
4639238,285144,1308,1320080,113,1325083,219,0,0,0,1616086670,445345
